,Model,Condition,Simulation,Phase,Episode,State,Action,RPE,VS1A2,VS1A3,VS2A4,VS2A5,VS3A5,VS3A6,VS4A7,VS5A8,VS6A9,VS7A10,VS8A10,VS9A10,VS10A11
0,FullSR,Goal,1,1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,FullSR,Goal,1,1,1,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,FullSR,Goal,1,1,1,6,9,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.075,0.0,0.0,0.0,0.0
3,FullSR,Goal,1,1,1,9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.075,0.0,0.0,0.0,0.0
4,FullSR,Goal,1,1,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.075,0.0,0.0,0.0,0.0
5,FullSR,Goal,1,1,2,3,6,0.0,0.0,0.0,0.0,0.0,0.0,1.29853125,0.0,0.0,6.075,0.0,0.0,0.0,0.0
6,FullSR,Goal,1,1,2,6,9,3.0,0.0,0.0,0.0,0.0,0.0,1.4283843749999998,0.0,0.0,11.861437500000001,0.0,0.0,0.0,0.0
7,FullSR,Goal,1,1,2,9,10,0.0,0.0,0.0,0.0,0.0,0.0,1.4283843749999998,0.0,0.0,11.861437500000001,0.0,0.0,0.0,0.0
8,FullSR,Goal,1,1,3,6,9,0.3000000000000007,0.0,0.0,0.0,0.0,0.0,1.4413696875,0.0,0.0,16.019433281250002,0.0,0.0,0.0,0.0
9,FullSR,Goal,1,1,3,9,10,0.0,0.0,0.0,0.0,0.0,0.0,1.4413696875,0.0,0.0,16.019433281250002,0.0,0.0,0.0,0.0
10,FullSR,Goal,1,1,4,1,3,0.0,0.0,0.30809277070312496,0.0,0.0,0.0,1.4413696875,0.0,0.0,16.019433281250002,0.0,0.0,0.0,0.0
11,FullSR,Goal,1,1,4,3,6,0.0,0.0,0.30809277070312496,0.0,0.0,0.0,4.541215371679687,0.0,0.0,16.019433281250002,0.0,0.0,0.0,0.0
12,FullSR,Goal,1,1,4,6,9,0.030000000000001137,0.0,0.3083703317578125,0.0,0.0,0.0,4.545306556699218,0.0,0.0,19.175570532421876,0.0,0.0,0.0,0.0
13,FullSR,Goal,1,1,4,9,10,0.0,0.0,0.3083703317578125,0.0,0.0,0.0,4.545306556699218,0.0,0.0,19.175570532421876,0.0,0.0,0.0,0.0
14,FullSR,Goal,1,1,5,1,2,0.0,0.0,0.3083703317578125,0.0,0.0,0.0,4.545306556699218,0.0,0.0,19.175570532421876,0.0,0.0,0.0,0.0
15,FullSR,Goal,1,1,5,2,5,0.0,0.0,0.3083703317578125,0.0,0.0,0.0,4.545306556699218,0.0,0.0,19.175570532421876,0.0,0.0,0.0,0.0
16,FullSR,Goal,1,1,5,5,8,0.0,0.0,0.3083703317578125,0.0,0.0,0.0,4.545306556699218,0.0,0.0,19.175570532421876,0.0,0.0,0.0,0.0
17,FullSR,Goal,1,1,5,8,10,0.0,0.0,0.3083703317578125,0.0,0.0,0.0,4.545306556699218,0.0,0.0,19.175570532421876,0.0,0.0,0.0,0.0
18,FullSR,Goal,1,1,6,6,9,0.0030000000000001137,0.0,0.30839808786328127,0.0,0.0,0.0,4.545715675201172,0.0,0.0,21.612337292434574,0.0,0.0,0.0,0.0
19,FullSR,Goal,1,1,6,9,10,0.0,0.0,0.30839808786328127,0.0,0.0,0.0,4.545715675201172,0.0,0.0,21.612337292434574,0.0,0.0,0.0,0.0
20,FullSR,Goal,1,1,7,2,4,0.0,0.0,0.30839808786328127,0.0,0.0,0.0,4.545715675201172,0.0,0.0,21.612337292434574,0.0,0.0,0.0,0.0
21,FullSR,Goal,1,1,7,4,7,15.0,0.0,0.30839808786328127,0.0,0.0,0.0,4.545715675201172,3.0375,0.0,21.612337292434574,0.0,0.0,0.0,0.0
22,FullSR,Goal,1,1,7,7,10,0.0,0.0,0.30839808786328127,0.0,0.0,0.0,4.545715675201172,3.0375,0.0,21.612337292434574,0.0,0.0,0.0,0.0
23,FullSR,Goal,1,1,8,1,2,0.0,0.0,0.30839808786328127,0.0,0.0,0.0,4.545715675201172,3.0375,0.0,21.612337292434574,0.0,0.0,0.0,0.0
24,FullSR,Goal,1,1,8,2,5,0.0,0.0,0.30839808786328127,0.0,0.0,0.0,4.545715675201172,3.0375,0.0,21.612337292434574,0.0,0.0,0.0,0.0
25,FullSR,Goal,1,1,8,5,8,0.0,0.0,0.30839808786328127,0.0,0.0,0.0,4.545715675201172,3.0375,0.0,21.612337292434574,0.0,0.0,0.0,0.0
26,FullSR,Goal,1,1,8,8,10,0.0,0.0,0.30839808786328127,0.0,0.0,0.0,4.545715675201172,3.0375,0.0,21.612337292434574,0.0,0.0,0.0,0.0
27,FullSR,Goal,1,1,9,1,2,0.0,0.0,0.30839808786328127,0.0,0.0,0.0,4.545715675201172,3.0375,0.0,21.612337292434574,0.0,0.0,0.0,0.0
28,FullSR,Goal,1,1,9,2,4,0.0,0.0,0.30839808786328127,0.649265625,0.0,0.0,4.545715675201172,3.0375,0.0,21.612337292434574,0.0,0.0,0.0,0.0
29,FullSR,Goal,1,1,9,4,7,1.5,0.0,0.30839808786328127,0.7141921874999999,0.0,0.0,4.545715675201172,5.9307187500000005,0.0,21.612337292434574,0.0,0.0,0.0,0.0
