,Model,Condition,Simulation,Phase,Episode,State,Action,RPE,VS1A2,VS1A3,VS2A4,VS2A5,VS3A5,VS3A6,VS4A7,VS5A8,VS6A9,VS7A10,VS8A10,VS9A10,VS10A11
0,ModelBased,Control,1,1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ModelBased,Control,1,1,1,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,ModelBased,Control,1,1,1,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ModelBased,Control,1,1,1,8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ModelBased,Control,1,1,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ModelBased,Control,1,1,2,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,ModelBased,Control,1,1,2,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ModelBased,Control,1,1,2,8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,ModelBased,Control,1,1,3,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,ModelBased,Control,1,1,3,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,ModelBased,Control,1,1,3,4,7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0
11,ModelBased,Control,1,1,3,7,10,0.0,0.0,0.0,12.825,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0
12,ModelBased,Control,1,1,4,1,2,0.0,9.137812499999999,0.0,12.825,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0
13,ModelBased,Control,1,1,4,2,4,0.0,9.137812499999999,0.0,12.825,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0
14,ModelBased,Control,1,1,4,4,7,1.5,9.137812499999999,0.0,12.825,0.0,0.0,0.0,14.85,0.0,0.0,0.0,0.0,0.0,0.0
15,ModelBased,Control,1,1,4,7,10,0.0,9.137812499999999,0.0,14.107499999999998,0.0,0.0,0.0,14.85,0.0,0.0,0.0,0.0,0.0,0.0
16,ModelBased,Control,1,1,5,5,8,0.0,10.051593749999997,0.0,14.107499999999998,0.0,0.0,0.0,14.85,0.0,0.0,0.0,0.0,0.0,0.0
17,ModelBased,Control,1,1,5,8,10,0.0,10.051593749999997,0.0,14.107499999999998,0.0,0.0,0.0,14.85,0.0,0.0,0.0,0.0,0.0,0.0
18,ModelBased,Control,1,1,6,2,4,0.0,10.051593749999997,0.0,14.107499999999998,0.0,0.0,0.0,14.85,0.0,0.0,0.0,0.0,0.0,0.0
19,ModelBased,Control,1,1,6,4,7,0.15000000000000036,10.051593749999997,0.0,14.107499999999998,0.0,0.0,0.0,14.985,0.0,0.0,0.0,0.0,0.0,0.0
20,ModelBased,Control,1,1,6,7,10,0.0,10.051593749999997,0.0,14.23575,0.0,0.0,0.0,14.985,0.0,0.0,0.0,0.0,0.0,0.0
21,ModelBased,Control,1,1,7,6,9,30.0,10.142971875,0.0,14.23575,0.0,0.0,0.0,14.985,0.0,27.0,0.0,0.0,0.0,0.0
22,ModelBased,Control,1,1,7,9,10,0.0,10.142971875,0.0,14.23575,0.0,0.0,0.0,14.985,0.0,27.0,0.0,0.0,0.0,0.0
23,ModelBased,Control,1,1,8,1,3,0.0,10.142971875,0.0,14.23575,0.0,0.0,0.0,14.985,0.0,27.0,0.0,0.0,0.0,0.0
