,Model,Condition,Simulation,Phase,Episode,State,Action,RPE,VS1A2,VS1A3,VS2A4,VS2A5,VS3A5,VS3A6,VS4A7,VS5A8,VS6A9,VS7A10,VS8A10,VS9A10,VS10A11
0,ModelBased,Policy,1,1,1,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ModelBased,Policy,1,1,1,5,8,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0
2,ModelBased,Policy,1,1,1,8,10,0.0,0.0,0.0,0.0,0.0,12.825,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0
3,ModelBased,Policy,1,1,2,2,4,0.0,0.0,0.0,0.0,0.0,12.825,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0
4,ModelBased,Policy,1,1,2,4,7,5.0,0.0,0.0,0.0,0.0,12.825,0.0,4.5,13.5,0.0,0.0,0.0,0.0,0.0
5,ModelBased,Policy,1,1,2,7,10,0.0,0.0,0.0,4.2749999999999995,0.0,12.825,0.0,4.5,13.5,0.0,0.0,0.0,0.0,0.0
6,ModelBased,Policy,1,1,3,3,5,0.0,0.0,0.0,4.2749999999999995,0.0,12.825,0.0,4.5,13.5,0.0,0.0,0.0,0.0,0.0
7,ModelBased,Policy,1,1,3,5,8,1.5,0.0,0.0,4.2749999999999995,0.0,12.825,0.0,4.5,14.85,0.0,0.0,0.0,0.0,0.0
8,ModelBased,Policy,1,1,3,8,10,0.0,0.0,0.0,4.2749999999999995,0.0,14.107499999999998,0.0,4.5,14.85,0.0,0.0,0.0,0.0,0.0
9,ModelBased,Policy,1,1,4,6,9,30.0,0.0,0.0,4.2749999999999995,0.0,14.107499999999998,0.0,4.5,14.85,27.0,0.0,0.0,0.0,0.0
10,ModelBased,Policy,1,1,4,9,10,0.0,0.0,0.0,4.2749999999999995,0.0,14.107499999999998,0.0,4.5,14.85,27.0,0.0,0.0,0.0,0.0
11,ModelBased,Policy,1,1,5,5,8,0.15000000000000036,0.0,0.0,4.2749999999999995,0.0,14.107499999999998,0.0,4.5,14.985,27.0,0.0,0.0,0.0,0.0
12,ModelBased,Policy,1,1,5,8,10,0.0,0.0,0.0,4.2749999999999995,0.0,14.23575,0.0,4.5,14.985,27.0,0.0,0.0,0.0,0.0
13,ModelBased,Policy,1,1,6,5,8,0.015000000000000568,0.0,0.0,4.2749999999999995,0.0,14.23575,0.0,4.5,14.9985,27.0,0.0,0.0,0.0,0.0
14,ModelBased,Policy,1,1,6,8,10,0.0,0.0,0.0,4.2749999999999995,0.0,14.248574999999999,0.0,4.5,14.9985,27.0,0.0,0.0,0.0,0.0
15,ModelBased,Policy,1,1,7,2,4,0.0,0.0,0.0,4.2749999999999995,0.0,14.248574999999999,0.0,4.5,14.9985,27.0,0.0,0.0,0.0,0.0
16,ModelBased,Policy,1,1,7,4,7,0.5,0.0,0.0,4.2749999999999995,0.0,14.248574999999999,0.0,4.95,14.9985,27.0,0.0,0.0,0.0,0.0
17,ModelBased,Policy,1,1,7,7,10,0.0,0.0,0.0,4.7025,0.0,14.248574999999999,0.0,4.95,14.9985,27.0,0.0,0.0,0.0,0.0
18,ModelBased,Policy,1,1,8,1,2,0.0,3.3505312499999995,0.0,4.7025,0.0,14.248574999999999,0.0,4.95,14.9985,27.0,0.0,0.0,0.0,0.0
19,ModelBased,Policy,1,1,8,2,4,0.0,3.3505312499999995,0.0,4.7025,0.0,14.248574999999999,0.0,4.95,14.9985,27.0,0.0,0.0,0.0,0.0
20,ModelBased,Policy,1,1,8,4,7,0.04999999999999982,3.3505312499999995,0.0,4.7025,0.0,14.248574999999999,0.0,4.995,14.9985,27.0,0.0,0.0,0.0,0.0
21,ModelBased,Policy,1,1,8,7,10,0.0,3.3505312499999995,0.0,4.7452499999999995,0.0,14.248574999999999,0.0,4.995,14.9985,27.0,0.0,0.0,0.0,0.0
22,ModelBased,Policy,1,1,9,1,3,0.0,3.380990625,10.152109687499998,4.7452499999999995,0.0,14.248574999999999,0.0,4.995,14.9985,27.0,0.0,0.0,0.0,0.0
23,ModelBased,Policy,1,1,9,3,6,0.0,3.380990625,10.152109687499998,4.7452499999999995,0.0,14.248574999999999,25.65,4.995,14.9985,27.0,0.0,0.0,0.0,0.0
24,ModelBased,Policy,1,1,9,6,9,3.0,3.380990625,21.6596615625,4.7452499999999995,0.0,14.248574999999999,25.65,4.995,14.9985,29.7,0.0,0.0,0.0,0.0
25,ModelBased,Policy,1,1,9,9,10,0.0,3.380990625,21.6596615625,4.7452499999999995,0.0,14.248574999999999,28.214999999999996,4.995,14.9985,29.7,0.0,0.0,0.0,0.0
26,ModelBased,Policy,1,1,10,1,3,0.0,3.380990625,23.487224062499994,4.7452499999999995,0.0,14.248574999999999,28.214999999999996,4.995,14.9985,29.7,0.0,0.0,0.0,0.0
27,ModelBased,Policy,1,1,10,3,6,0.0,3.380990625,23.487224062499994,4.7452499999999995,0.0,14.248574999999999,28.214999999999996,4.995,14.9985,29.7,0.0,0.0,0.0,0.0
28,ModelBased,Policy,1,1,10,6,9,0.3000000000000007,3.380990625,23.487224062499994,4.7452499999999995,0.0,14.248574999999999,28.214999999999996,4.995,14.9985,29.97,0.0,0.0,0.0,0.0
29,ModelBased,Policy,1,1,10,9,10,0.0,3.380990625,23.487224062499994,4.7452499999999995,0.0,14.248574999999999,28.4715,4.995,14.9985,29.97,0.0,0.0,0.0,0.0
30,ModelBased,Policy,1,1,11,5,8,0.0015000000000000568,3.380990625,23.6699803125,4.7452499999999995,0.0,14.248574999999999,28.4715,4.995,14.99985,29.97,0.0,0.0,0.0,0.0
31,ModelBased,Policy,1,1,11,8,10,0.0,3.380990625,23.6699803125,4.7452499999999995,0.0,14.2498575,28.4715,4.995,14.99985,29.97,0.0,0.0,0.0,0.0
