,Model,Condition,Simulation,Phase,Episode,State,Action,RPE,VS1A2,VS1A3,VS2A4,VS2A5,VS3A5,VS3A6,VS4A7,VS5A8,VS6A9,VS7A10,VS8A10,VS9A10,VS10A11
0,ModelBased,Transition,1,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ModelBased,Transition,1,1,1,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,ModelBased,Transition,1,1,1,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ModelBased,Transition,1,1,1,8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ModelBased,Transition,1,1,2,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ModelBased,Transition,1,1,2,6,9,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0
6,ModelBased,Transition,1,1,2,9,10,0.0,0.0,0.0,0.0,0.0,0.0,25.65,0.0,0.0,27.0,0.0,0.0,0.0,0.0
7,ModelBased,Transition,1,1,3,1,3,0.0,0.0,18.275624999999998,0.0,0.0,0.0,25.65,0.0,0.0,27.0,0.0,0.0,0.0,0.0
8,ModelBased,Transition,1,1,3,3,5,0.0,0.0,18.275624999999998,0.0,0.0,0.0,25.65,0.0,0.0,27.0,0.0,0.0,0.0,0.0
9,ModelBased,Transition,1,1,3,5,8,0.0,0.0,18.275624999999998,0.0,0.0,0.0,25.65,0.0,0.0,27.0,0.0,0.0,0.0,0.0
10,ModelBased,Transition,1,1,3,8,10,0.0,0.0,18.275624999999998,0.0,0.0,0.0,25.65,0.0,0.0,27.0,0.0,0.0,0.0,0.0
11,ModelBased,Transition,1,1,4,2,5,0.0,0.0,18.275624999999998,0.0,0.0,0.0,25.65,0.0,0.0,27.0,0.0,0.0,0.0,0.0
12,ModelBased,Transition,1,1,4,5,8,0.0,0.0,18.275624999999998,0.0,0.0,0.0,25.65,0.0,0.0,27.0,0.0,0.0,0.0,0.0
13,ModelBased,Transition,1,1,4,8,10,0.0,0.0,18.275624999999998,0.0,0.0,0.0,25.65,0.0,0.0,27.0,0.0,0.0,0.0,0.0
14,ModelBased,Transition,1,1,5,2,4,0.0,0.0,18.275624999999998,0.0,0.0,0.0,25.65,0.0,0.0,27.0,0.0,0.0,0.0,0.0
15,ModelBased,Transition,1,1,5,4,7,15.0,0.0,18.275624999999998,0.0,0.0,0.0,25.65,13.5,0.0,27.0,0.0,0.0,0.0,0.0
16,ModelBased,Transition,1,1,5,7,10,0.0,0.0,18.275624999999998,12.825,0.0,0.0,25.65,13.5,0.0,27.0,0.0,0.0,0.0,0.0
17,ModelBased,Transition,1,1,6,6,9,3.0,9.137812499999999,18.275624999999998,12.825,0.0,0.0,25.65,13.5,0.0,29.7,0.0,0.0,0.0,0.0
18,ModelBased,Transition,1,1,6,9,10,0.0,9.137812499999999,18.275624999999998,12.825,0.0,0.0,28.214999999999996,13.5,0.0,29.7,0.0,0.0,0.0,0.0
19,ModelBased,Transition,1,1,7,1,2,0.0,9.137812499999999,20.103187499999994,12.825,0.0,0.0,28.214999999999996,13.5,0.0,29.7,0.0,0.0,0.0,0.0
20,ModelBased,Transition,1,1,7,2,4,0.0,9.137812499999999,20.103187499999994,12.825,0.0,0.0,28.214999999999996,13.5,0.0,29.7,0.0,0.0,0.0,0.0
21,ModelBased,Transition,1,1,7,4,7,1.5,9.137812499999999,20.103187499999994,12.825,0.0,0.0,28.214999999999996,14.85,0.0,29.7,0.0,0.0,0.0,0.0
22,ModelBased,Transition,1,1,7,7,10,0.0,9.137812499999999,20.103187499999994,14.107499999999998,0.0,0.0,28.214999999999996,14.85,0.0,29.7,0.0,0.0,0.0,0.0
23,ModelBased,Transition,1,1,8,5,8,0.0,10.051593749999997,20.103187499999994,14.107499999999998,0.0,0.0,28.214999999999996,14.85,0.0,29.7,0.0,0.0,0.0,0.0
24,ModelBased,Transition,1,1,8,8,10,0.0,10.051593749999997,20.103187499999994,14.107499999999998,0.0,0.0,28.214999999999996,14.85,0.0,29.7,0.0,0.0,0.0,0.0
25,ModelBased,Transition,1,1,9,1,3,0.0,10.051593749999997,20.103187499999994,14.107499999999998,0.0,0.0,28.214999999999996,14.85,0.0,29.7,0.0,0.0,0.0,0.0
26,ModelBased,Transition,1,1,9,3,6,0.0,10.051593749999997,20.103187499999994,14.107499999999998,0.0,0.0,28.214999999999996,14.85,0.0,29.7,0.0,0.0,0.0,0.0
27,ModelBased,Transition,1,1,9,6,9,0.3000000000000007,10.051593749999997,20.103187499999994,14.107499999999998,0.0,0.0,28.214999999999996,14.85,0.0,29.97,0.0,0.0,0.0,0.0
28,ModelBased,Transition,1,1,9,9,10,0.0,10.051593749999997,20.103187499999994,14.107499999999998,0.0,0.0,28.4715,14.85,0.0,29.97,0.0,0.0,0.0,0.0
29,ModelBased,Transition,1,1,10,2,4,0.0,10.051593749999997,20.28594375,14.107499999999998,0.0,0.0,28.4715,14.85,0.0,29.97,0.0,0.0,0.0,0.0
30,ModelBased,Transition,1,1,10,4,7,0.15000000000000036,10.051593749999997,20.28594375,14.107499999999998,0.0,0.0,28.4715,14.985,0.0,29.97,0.0,0.0,0.0,0.0
31,ModelBased,Transition,1,1,10,7,10,0.0,10.051593749999997,20.28594375,14.23575,0.0,0.0,28.4715,14.985,0.0,29.97,0.0,0.0,0.0,0.0
32,ModelBased,Transition,1,1,11,5,8,0.0,10.142971875,20.28594375,14.23575,0.0,0.0,28.4715,14.985,0.0,29.97,0.0,0.0,0.0,0.0
33,ModelBased,Transition,1,1,11,8,10,0.0,10.142971875,20.28594375,14.23575,0.0,0.0,28.4715,14.985,0.0,29.97,0.0,0.0,0.0,0.0
