,Model,Condition,Simulation,Phase,Episode,State,Action,RPE,VS1A2,VS1A3,VS2A4,VS2A5,VS3A5,VS3A6,VS4A7,VS5A8,VS6A9,VS7A10,VS8A10,VS9A10,VS10A11
0,Punctate,Control,1,1,1,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,Punctate,Control,1,1,1,4,7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0
2,Punctate,Control,1,1,1,7,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0
3,Punctate,Control,1,1,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0
4,Punctate,Control,1,1,2,2,4,12.825,0.0,0.0,11.5425,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0
5,Punctate,Control,1,1,2,4,7,1.5,0.0,0.0,11.5425,0.0,0.0,0.0,14.85,0.0,0.0,0.0,0.0,0.0,0
6,Punctate,Control,1,1,2,7,10,0.0,0.0,0.0,11.5425,0.0,0.0,0.0,14.85,0.0,0.0,0.0,0.0,0.0,0
7,Punctate,Control,1,1,3,6,9,30.0,0.0,0.0,11.5425,0.0,0.0,0.0,14.85,0.0,27.0,0.0,0.0,0.0,0
8,Punctate,Control,1,1,3,9,10,0.0,0.0,0.0,11.5425,0.0,0.0,0.0,14.85,0.0,27.0,0.0,0.0,0.0,0
9,Punctate,Control,1,1,4,3,5,0.0,0.0,0.0,11.5425,0.0,0.0,0.0,14.85,0.0,27.0,0.0,0.0,0.0,0
10,Punctate,Control,1,1,4,5,8,0.0,0.0,0.0,11.5425,0.0,0.0,0.0,14.85,0.0,27.0,0.0,0.0,0.0,0
11,Punctate,Control,1,1,4,8,10,0.0,0.0,0.0,11.5425,0.0,0.0,0.0,14.85,0.0,27.0,0.0,0.0,0.0,0
12,Punctate,Control,1,1,5,1,3,0.0,0.0,0.0,11.5425,0.0,0.0,0.0,14.85,0.0,27.0,0.0,0.0,0.0,0
13,Punctate,Control,1,1,5,3,6,25.65,0.0,0.0,11.5425,0.0,0.0,23.085,14.85,0.0,27.0,0.0,0.0,0.0,0
14,Punctate,Control,1,1,5,6,9,3.0,0.0,0.0,11.5425,0.0,0.0,23.085,14.85,0.0,29.7,0.0,0.0,0.0,0
15,Punctate,Control,1,1,5,9,10,0.0,0.0,0.0,11.5425,0.0,0.0,23.085,14.85,0.0,29.7,0.0,0.0,0.0,0
16,Punctate,Control,1,1,6,5,8,0.0,0.0,0.0,11.5425,0.0,0.0,23.085,14.85,0.0,29.7,0.0,0.0,0.0,0
17,Punctate,Control,1,1,6,8,10,0.0,0.0,0.0,11.5425,0.0,0.0,23.085,14.85,0.0,29.7,0.0,0.0,0.0,0
18,Punctate,Control,1,1,7,1,2,10.965375,9.8688375,0.0,11.5425,0.0,0.0,23.085,14.85,0.0,29.7,0.0,0.0,0.0,0
19,Punctate,Control,1,1,7,2,4,2.5649999999999977,9.8688375,0.0,13.850999999999999,0.0,0.0,23.085,14.85,0.0,29.7,0.0,0.0,0.0,0
20,Punctate,Control,1,1,7,4,7,0.15000000000000036,9.8688375,0.0,13.850999999999999,0.0,0.0,23.085,14.985,0.0,29.7,0.0,0.0,0.0,0
21,Punctate,Control,1,1,7,7,10,0.0,9.8688375,0.0,13.850999999999999,0.0,0.0,23.085,14.985,0.0,29.7,0.0,0.0,0.0,0
22,Punctate,Control,1,1,8,3,6,5.1299999999999955,9.8688375,0.0,13.850999999999999,0.0,0.0,27.701999999999998,14.985,0.0,29.7,0.0,0.0,0.0,0
23,Punctate,Control,1,1,8,6,9,0.3000000000000007,9.8688375,0.0,13.850999999999999,0.0,0.0,27.701999999999998,14.985,0.0,29.97,0.0,0.0,0.0,0
24,Punctate,Control,1,1,8,9,10,0.0,9.8688375,0.0,13.850999999999999,0.0,0.0,27.701999999999998,14.985,0.0,29.97,0.0,0.0,0.0,0
25,Punctate,Control,1,1,9,1,3,26.316899999999997,9.8688375,23.685209999999998,13.850999999999999,0.0,0.0,27.701999999999998,14.985,0.0,29.97,0.0,0.0,0.0,0
26,Punctate,Control,1,1,9,3,6,0.7695000000000007,9.8688375,23.685209999999998,13.850999999999999,0.0,0.0,28.39455,14.985,0.0,29.97,0.0,0.0,0.0,0
27,Punctate,Control,1,1,9,6,9,0.030000000000001137,9.8688375,23.685209999999998,13.850999999999999,0.0,0.0,28.39455,14.985,0.0,29.997,0.0,0.0,0.0,0
28,Punctate,Control,1,1,9,9,10,0.0,9.8688375,23.685209999999998,13.850999999999999,0.0,0.0,28.39455,14.985,0.0,29.997,0.0,0.0,0.0,0
29,Punctate,Control,1,1,10,3,6,0.10259999999999891,9.8688375,23.685209999999998,13.850999999999999,0.0,0.0,28.48689,14.985,0.0,29.997,0.0,0.0,0.0,0
30,Punctate,Control,1,1,10,6,9,0.0030000000000001137,9.8688375,23.685209999999998,13.850999999999999,0.0,0.0,28.48689,14.985,0.0,29.9997,0.0,0.0,0.0,0
31,Punctate,Control,1,1,10,9,10,0.0,9.8688375,23.685209999999998,13.850999999999999,0.0,0.0,28.48689,14.985,0.0,29.9997,0.0,0.0,0.0,0
32,Punctate,Control,1,1,11,2,5,0.0,9.8688375,23.685209999999998,13.850999999999999,0.0,0.0,28.48689,14.985,0.0,29.9997,0.0,0.0,0.0,0
33,Punctate,Control,1,1,11,5,8,0.0,9.8688375,23.685209999999998,13.850999999999999,0.0,0.0,28.48689,14.985,0.0,29.9997,0.0,0.0,0.0,0
34,Punctate,Control,1,1,11,8,10,0.0,9.8688375,23.685209999999998,13.850999999999999,0.0,0.0,28.48689,14.985,0.0,29.9997,0.0,0.0,0.0,0
35,Punctate,Control,1,1,12,1,2,3.2896124999999987,12.82948875,23.685209999999998,13.850999999999999,0.0,0.0,28.48689,14.985,0.0,29.9997,0.0,0.0,0.0,0
36,Punctate,Control,1,1,12,2,4,0.38475000000000037,12.82948875,23.685209999999998,14.197275,0.0,0.0,28.48689,14.985,0.0,29.9997,0.0,0.0,0.0,0
37,Punctate,Control,1,1,12,4,7,0.015000000000000568,12.82948875,23.685209999999998,14.197275,0.0,0.0,28.48689,14.9985,0.0,29.9997,0.0,0.0,0.0,0
38,Punctate,Control,1,1,12,7,10,0.0,12.82948875,23.685209999999998,14.197275,0.0,0.0,28.48689,14.9985,0.0,29.9997,0.0,0.0,0.0,0
39,Punctate,Control,1,1,13,1,3,3.377335500000001,12.82948875,26.72481195,14.197275,0.0,0.0,28.48689,14.9985,0.0,29.9997,0.0,0.0,0.0,0
40,Punctate,Control,1,1,13,3,6,0.01282499999999942,12.82948875,26.72481195,14.197275,0.0,0.0,28.4984325,14.9985,0.0,29.9997,0.0,0.0,0.0,0
41,Punctate,Control,1,1,13,6,9,0.0002999999999993008,12.82948875,26.72481195,14.197275,0.0,0.0,28.4984325,14.9985,0.0,29.99997,0.0,0.0,0.0,0
42,Punctate,Control,1,1,13,9,10,0.0,12.82948875,26.72481195,14.197275,0.0,0.0,28.4984325,14.9985,0.0,29.99997,0.0,0.0,0.0,0
43,Punctate,Control,1,1,14,6,9,2.999999999886427e-05,12.82948875,26.72481195,14.197275,0.0,0.0,28.4984325,14.9985,0.0,29.999997,0.0,0.0,0.0,0
44,Punctate,Control,1,1,14,9,10,0.0,12.82948875,26.72481195,14.197275,0.0,0.0,28.4984325,14.9985,0.0,29.999997,0.0,0.0,0.0,0
45,Punctate,Control,1,1,15,4,7,0.0015000000000000568,12.82948875,26.72481195,14.197275,0.0,0.0,28.4984325,14.99985,0.0,29.999997,0.0,0.0,0.0,0
46,Punctate,Control,1,1,15,7,10,0.0,12.82948875,26.72481195,14.197275,0.0,0.0,28.4984325,14.99985,0.0,29.999997,0.0,0.0,0.0,0
47,Punctate,Control,1,1,16,2,4,0.052582499999999754,12.82948875,26.72481195,14.244599249999998,0.0,0.0,28.4984325,14.99985,0.0,29.999997,0.0,0.0,0.0,0
48,Punctate,Control,1,1,16,4,7,0.0001499999999996504,12.82948875,26.72481195,14.244599249999998,0.0,0.0,28.4984325,14.999985,0.0,29.999997,0.0,0.0,0.0,0
49,Punctate,Control,1,1,16,7,10,0.0,12.82948875,26.72481195,14.244599249999998,0.0,0.0,28.4984325,14.999985,0.0,29.999997,0.0,0.0,0.0,0
50,Punctate,Control,1,1,17,2,4,0.005386500000001959,12.82948875,26.72481195,14.249447100000001,0.0,0.0,28.4984325,14.999985,0.0,29.999997,0.0,0.0,0.0,0
51,Punctate,Control,1,1,17,4,7,1.4999999999432134e-05,12.82948875,26.72481195,14.249447100000001,0.0,0.0,28.4984325,14.9999985,0.0,29.999997,0.0,0.0,0.0,0
52,Punctate,Control,1,1,17,7,10,0.0,12.82948875,26.72481195,14.249447100000001,0.0,0.0,28.4984325,14.9999985,0.0,29.999997,0.0,0.0,0.0,0
53,Punctate,Control,1,1,18,1,3,0.34869892500000077,12.82948875,27.0386409825,14.249447100000001,0.0,0.0,28.4984325,14.9999985,0.0,29.999997,0.0,0.0,0.0,0
54,Punctate,Control,1,1,18,3,6,0.001564649999998835,12.82948875,27.0386409825,14.249447100000001,0.0,0.0,28.499840685,14.9999985,0.0,29.999997,0.0,0.0,0.0,0
55,Punctate,Control,1,1,18,6,9,2.9999999995311555e-06,12.82948875,27.0386409825,14.249447100000001,0.0,0.0,28.499840685,14.9999985,0.0,29.9999997,0.0,0.0,0.0,0
56,Punctate,Control,1,1,18,9,10,0.0,12.82948875,27.0386409825,14.249447100000001,0.0,0.0,28.499840685,14.9999985,0.0,29.9999997,0.0,0.0,0.0,0
57,Punctate,Control,1,1,19,5,8,0.0,12.82948875,27.0386409825,14.249447100000001,0.0,0.0,28.499840685,14.9999985,0.0,29.9999997,0.0,0.0,0.0,0
