,Model,Condition,Simulation,Phase,Episode,State,Action,RPE,VS1A2,VS1A3,VS2A4,VS2A5,VS3A5,VS3A6,VS4A7,VS5A8,VS6A9,VS7A10,VS8A10,VS9A10,VS10A11
0,Punctate,Goal,1,1,1,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,Punctate,Goal,1,1,1,4,7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0
2,Punctate,Goal,1,1,1,7,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0
3,Punctate,Goal,1,1,2,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0
4,Punctate,Goal,1,1,2,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0
5,Punctate,Goal,1,1,2,8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0
6,Punctate,Goal,1,1,3,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0
7,Punctate,Goal,1,1,3,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0
8,Punctate,Goal,1,1,3,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0
9,Punctate,Goal,1,1,3,8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0
10,Punctate,Goal,1,1,4,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0
11,Punctate,Goal,1,1,4,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0
12,Punctate,Goal,1,1,4,8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0
13,Punctate,Goal,1,1,5,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0
14,Punctate,Goal,1,1,5,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0
15,Punctate,Goal,1,1,5,6,9,30.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,27.0,0.0,0.0,0.0,0
16,Punctate,Goal,1,1,5,9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,27.0,0.0,0.0,0.0,0
17,Punctate,Goal,1,1,6,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,27.0,0.0,0.0,0.0,0
18,Punctate,Goal,1,1,6,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,27.0,0.0,0.0,0.0,0
19,Punctate,Goal,1,1,6,8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,27.0,0.0,0.0,0.0,0
20,Punctate,Goal,1,1,7,6,9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,29.7,0.0,0.0,0.0,0
21,Punctate,Goal,1,1,7,9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,29.7,0.0,0.0,0.0,0
22,Punctate,Goal,1,1,8,6,9,0.3000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,29.97,0.0,0.0,0.0,0
