,Model,Condition,Simulation,Phase,Episode,State,Action,RPE,VS1A2,VS1A3,VS2A4,VS2A5,VS3A5,VS3A6,VS4A7,VS5A8,VS6A9,VS7A10,VS8A10,VS9A10,VS10A11
0,Punctate,Policy,1,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,Punctate,Policy,1,1,1,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,Punctate,Policy,1,1,1,4,7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0
3,Punctate,Policy,1,1,1,7,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0
4,Punctate,Policy,1,1,2,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0
5,Punctate,Policy,1,1,2,5,8,15.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,13.5,0.0,0.0,0.0,0.0,0
6,Punctate,Policy,1,1,2,8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,13.5,0.0,0.0,0.0,0.0,0
7,Punctate,Policy,1,1,3,4,7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.95,13.5,0.0,0.0,0.0,0.0,0
8,Punctate,Policy,1,1,3,7,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.95,13.5,0.0,0.0,0.0,0.0,0
9,Punctate,Policy,1,1,4,2,4,4.7025,0.0,0.0,4.23225,0.0,0.0,0.0,4.95,13.5,0.0,0.0,0.0,0.0,0
10,Punctate,Policy,1,1,4,4,7,0.04999999999999982,0.0,0.0,4.23225,0.0,0.0,0.0,4.995,13.5,0.0,0.0,0.0,0.0,0
11,Punctate,Policy,1,1,4,7,10,0.0,0.0,0.0,4.23225,0.0,0.0,0.0,4.995,13.5,0.0,0.0,0.0,0.0,0
12,Punctate,Policy,1,1,5,3,5,12.825,0.0,0.0,4.23225,0.0,11.5425,0.0,4.995,13.5,0.0,0.0,0.0,0.0,0
13,Punctate,Policy,1,1,5,5,8,1.5,0.0,0.0,4.23225,0.0,11.5425,0.0,4.995,14.85,0.0,0.0,0.0,0.0,0
14,Punctate,Policy,1,1,5,8,10,0.0,0.0,0.0,4.23225,0.0,11.5425,0.0,4.995,14.85,0.0,0.0,0.0,0.0,0
15,Punctate,Policy,1,1,6,5,8,0.15000000000000036,0.0,0.0,4.23225,0.0,11.5425,0.0,4.995,14.985,0.0,0.0,0.0,0.0,0
16,Punctate,Policy,1,1,6,8,10,0.0,0.0,0.0,4.23225,0.0,11.5425,0.0,4.995,14.985,0.0,0.0,0.0,0.0,0
17,Punctate,Policy,1,1,7,3,5,2.693249999999999,0.0,0.0,4.23225,0.0,13.966425,0.0,4.995,14.985,0.0,0.0,0.0,0.0,0
18,Punctate,Policy,1,1,7,5,8,0.015000000000000568,0.0,0.0,4.23225,0.0,13.966425,0.0,4.995,14.9985,0.0,0.0,0.0,0.0,0
19,Punctate,Policy,1,1,7,8,10,0.0,0.0,0.0,4.23225,0.0,13.966425,0.0,4.995,14.9985,0.0,0.0,0.0,0.0,0
20,Punctate,Policy,1,1,8,2,4,0.5129999999999999,0.0,0.0,4.693949999999999,0.0,13.966425,0.0,4.995,14.9985,0.0,0.0,0.0,0.0,0
21,Punctate,Policy,1,1,8,4,7,0.004999999999999893,0.0,0.0,4.693949999999999,0.0,13.966425,0.0,4.9995,14.9985,0.0,0.0,0.0,0.0,0
22,Punctate,Policy,1,1,8,7,10,0.0,0.0,0.0,4.693949999999999,0.0,13.966425,0.0,4.9995,14.9985,0.0,0.0,0.0,0.0,0
23,Punctate,Policy,1,1,9,3,6,0.0,0.0,0.0,4.693949999999999,0.0,13.966425,0.0,4.9995,14.9985,0.0,0.0,0.0,0.0,0
24,Punctate,Policy,1,1,9,6,9,30.0,0.0,0.0,4.693949999999999,0.0,13.966425,0.0,4.9995,14.9985,27.0,0.0,0.0,0.0,0
25,Punctate,Policy,1,1,9,9,10,0.0,0.0,0.0,4.693949999999999,0.0,13.966425,0.0,4.9995,14.9985,27.0,0.0,0.0,0.0,0
26,Punctate,Policy,1,1,10,3,5,0.2821499999999997,0.0,0.0,4.693949999999999,0.0,14.22036,0.0,4.9995,14.9985,27.0,0.0,0.0,0.0,0
27,Punctate,Policy,1,1,10,5,8,0.0015000000000000568,0.0,0.0,4.693949999999999,0.0,14.22036,0.0,4.9995,14.99985,27.0,0.0,0.0,0.0,0
