,Simulation,Phase,VS1A2,VS1A3,VS2A4,VS2A5,VS3A5,VS3A6,VS4A7,VS5A8,VS6A9,VS7A10,VS8A10,VS9A10,VS10A11,Test Result
0,1,After Learning,9.591265869140624,26.959503865242002,0.0,14.152587890625,0.0,28.499497175216675,0.0,14.996337890625,29.999996423721313,0.0,0.0,0.0,0,3
1,1,After Relearning,9.591265869140624,26.959503865242002,0.0,14.152587890625,0.0,28.499497175216675,39.375,14.999542236328125,29.999999552965164,0.0,0.0,0.0,0,3
2,2,After Learning,13.535045038419774,0.0,0.0,14.24998408765532,14.083002696395852,0.0,0.0,14.99999999301508,26.25,0.0,0.0,0.0,0,2
3,2,After Relearning,13.535045038419774,0.0,0.0,14.24998408765532,14.083002696395852,0.0,39.375,14.999999999126885,29.53125,0.0,0.0,0.0,0,2
4,3,After Learning,10.391501998901367,26.95405569076538,0.0,14.208251953125,10.6666259765625,28.497173309326172,0.0,14.999542236328125,29.999971389770508,0.0,0.0,0.0,0,3
5,3,After Relearning,10.391501998901367,26.95405569076538,0.0,14.208251953125,10.6666259765625,28.497173309326172,39.375,14.999942779541016,29.999996423721313,0.0,0.0,0.0,0,3
6,4,After Learning,0.0,13.533418609667569,0.0,14.124293697997928,14.249978138774168,0.0,0.0,14.99999999650754,26.25,0.0,0.0,0.0,0,3
7,4,After Relearning,0.0,13.533418609667569,0.0,14.124293697997928,14.249978138774168,0.0,39.375,14.999999999563443,29.53125,0.0,0.0,0.0,0,3
8,5,After Learning,0.0,27.051554775238035,0.0,14.1317138671875,0.0,28.49983012676239,0.0,14.996337890625,29.999996423721313,0.0,0.0,0.0,0,3
9,5,After Relearning,0.0,27.051554775238035,0.0,14.1317138671875,0.0,28.49983012676239,39.375,14.999542236328125,29.999999552965164,0.0,0.0,0.0,0,3
10,6,After Learning,13.519360935688018,13.28631591796875,0.0,14.249605894088745,0.0,28.2216796875,0.0,14.999996423721313,29.9853515625,0.0,0.0,0.0,0,2
11,6,After Relearning,13.519360935688018,13.28631591796875,0.0,14.249605894088745,0.0,28.2216796875,39.375,14.999999552965164,29.9981689453125,0.0,0.0,0.0,0,2
12,7,After Learning,13.495360565185546,0.0,0.0,14.249731600284576,0.0,28.179931640625,0.0,14.999996423721313,29.9853515625,0.0,0.0,0.0,0,2
13,7,After Relearning,13.495360565185546,0.0,0.0,14.249731600284576,0.0,28.179931640625,39.375,14.999999552965164,29.9981689453125,0.0,0.0,0.0,0,2
14,8,After Learning,3.384375,27.06309341490269,0.0,13.902099609375,0.0,28.49984711408615,0.0,14.99267578125,29.999996423721313,0.0,0.0,0.0,0,3
15,8,After Relearning,3.384375,27.06309341490269,0.0,13.902099609375,0.0,28.49984711408615,39.375,14.99908447265625,29.999999552965164,0.0,0.0,0.0,0,3
16,9,After Learning,9.746603393554686,26.881241226196288,0.0,14.2012939453125,3.5625,28.495488166809082,0.0,14.99908447265625,29.999942779541016,0.0,0.0,0.0,0,3
17,9,After Relearning,9.746603393554686,26.881241226196288,0.0,14.2012939453125,3.5625,28.495488166809082,39.375,14.999885559082031,29.999992847442627,0.0,0.0,0.0,0,3
18,10,After Learning,13.51379771522479,6.446068310737609,0.0,14.24995045142714,14.16507644020021,0.0,0.0,14.99999999301508,22.5,0.0,0.0,0.0,0,2
19,10,After Relearning,13.51379771522479,6.446068310737609,0.0,14.24995045142714,14.16507644020021,0.0,39.375,14.999999999126885,29.0625,0.0,0.0,0.0,0,2
20,11,After Learning,0.0,27.061557081341743,0.0,13.985595703125,0.0,28.499945640563965,0.0,14.99267578125,29.99999910593033,0.0,0.0,0.0,0,3
