,Model,Condition,Simulation,Phase,Episode,State,Action,RPE,VS1A2,VS1A3,VS2A4,VS2A5,VS3A5,VS3A6,VS4A7,VS5A8,VS6A9,VS7A10,VS8A10,VS9A10,VS10A11
0,Punctate,Transition,1,1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,Punctate,Transition,1,1,1,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,Punctate,Transition,1,1,1,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,Punctate,Transition,1,1,1,8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,Punctate,Transition,1,1,2,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,Punctate,Transition,1,1,2,6,9,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0
6,Punctate,Transition,1,1,2,9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0
7,Punctate,Transition,1,1,3,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0
8,Punctate,Transition,1,1,3,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0
9,Punctate,Transition,1,1,3,8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0
10,Punctate,Transition,1,1,4,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0
11,Punctate,Transition,1,1,4,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0
12,Punctate,Transition,1,1,4,4,7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,27.0,0.0,0.0,0.0,0
13,Punctate,Transition,1,1,4,7,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,27.0,0.0,0.0,0.0,0
14,Punctate,Transition,1,1,5,2,4,12.825,0.0,0.0,11.5425,0.0,0.0,0.0,13.5,0.0,27.0,0.0,0.0,0.0,0
15,Punctate,Transition,1,1,5,4,7,1.5,0.0,0.0,11.5425,0.0,0.0,0.0,14.85,0.0,27.0,0.0,0.0,0.0,0
16,Punctate,Transition,1,1,5,7,10,0.0,0.0,0.0,11.5425,0.0,0.0,0.0,14.85,0.0,27.0,0.0,0.0,0.0,0
17,Punctate,Transition,1,1,6,2,4,2.5649999999999977,0.0,0.0,13.850999999999999,0.0,0.0,0.0,14.85,0.0,27.0,0.0,0.0,0.0,0
18,Punctate,Transition,1,1,6,4,7,0.15000000000000036,0.0,0.0,13.850999999999999,0.0,0.0,0.0,14.985,0.0,27.0,0.0,0.0,0.0,0
19,Punctate,Transition,1,1,6,7,10,0.0,0.0,0.0,13.850999999999999,0.0,0.0,0.0,14.985,0.0,27.0,0.0,0.0,0.0,0
20,Punctate,Transition,1,1,7,6,9,3.0,0.0,0.0,13.850999999999999,0.0,0.0,0.0,14.985,0.0,29.7,0.0,0.0,0.0,0
21,Punctate,Transition,1,1,7,9,10,0.0,0.0,0.0,13.850999999999999,0.0,0.0,0.0,14.985,0.0,29.7,0.0,0.0,0.0,0
22,Punctate,Transition,1,1,8,4,7,0.015000000000000568,0.0,0.0,13.850999999999999,0.0,0.0,0.0,14.9985,0.0,29.7,0.0,0.0,0.0,0
23,Punctate,Transition,1,1,8,7,10,0.0,0.0,0.0,13.850999999999999,0.0,0.0,0.0,14.9985,0.0,29.7,0.0,0.0,0.0,0
24,Punctate,Transition,1,1,9,6,9,0.3000000000000007,0.0,0.0,13.850999999999999,0.0,0.0,0.0,14.9985,0.0,29.97,0.0,0.0,0.0,0
25,Punctate,Transition,1,1,9,9,10,0.0,0.0,0.0,13.850999999999999,0.0,0.0,0.0,14.9985,0.0,29.97,0.0,0.0,0.0,0
26,Punctate,Transition,1,1,10,1,3,0.0,0.0,0.0,13.850999999999999,0.0,0.0,0.0,14.9985,0.0,29.97,0.0,0.0,0.0,0
27,Punctate,Transition,1,1,10,3,5,0.0,0.0,0.0,13.850999999999999,0.0,0.0,0.0,14.9985,0.0,29.97,0.0,0.0,0.0,0
28,Punctate,Transition,1,1,10,5,8,0.0,0.0,0.0,13.850999999999999,0.0,0.0,0.0,14.9985,0.0,29.97,0.0,0.0,0.0,0
29,Punctate,Transition,1,1,10,8,10,0.0,0.0,0.0,13.850999999999999,0.0,0.0,0.0,14.9985,0.0,29.97,0.0,0.0,0.0,0
30,Punctate,Transition,1,1,11,6,9,0.030000000000001137,0.0,0.0,13.850999999999999,0.0,0.0,0.0,14.9985,0.0,29.997,0.0,0.0,0.0,0
31,Punctate,Transition,1,1,11,9,10,0.0,0.0,0.0,13.850999999999999,0.0,0.0,0.0,14.9985,0.0,29.997,0.0,0.0,0.0,0
32,Punctate,Transition,1,1,12,3,6,28.497149999999998,0.0,0.0,13.850999999999999,0.0,0.0,25.647434999999998,14.9985,0.0,29.997,0.0,0.0,0.0,0
33,Punctate,Transition,1,1,12,6,9,0.0030000000000001137,0.0,0.0,13.850999999999999,0.0,0.0,25.647434999999998,14.9985,0.0,29.9997,0.0,0.0,0.0,0
34,Punctate,Transition,1,1,12,9,10,0.0,0.0,0.0,13.850999999999999,0.0,0.0,25.647434999999998,14.9985,0.0,29.9997,0.0,0.0,0.0,0
35,Punctate,Transition,1,1,13,2,5,0.0,0.0,0.0,13.850999999999999,0.0,0.0,25.647434999999998,14.9985,0.0,29.9997,0.0,0.0,0.0,0
36,Punctate,Transition,1,1,13,5,8,0.0,0.0,0.0,13.850999999999999,0.0,0.0,25.647434999999998,14.9985,0.0,29.9997,0.0,0.0,0.0,0
37,Punctate,Transition,1,1,13,8,10,0.0,0.0,0.0,13.850999999999999,0.0,0.0,25.647434999999998,14.9985,0.0,29.9997,0.0,0.0,0.0,0
38,Punctate,Transition,1,1,14,1,3,24.36506325,0.0,21.928556925,13.850999999999999,0.0,0.0,25.647434999999998,14.9985,0.0,29.9997,0.0,0.0,0.0,0
39,Punctate,Transition,1,1,14,3,6,2.8522800000000004,0.0,21.928556925,13.850999999999999,0.0,0.0,28.214487,14.9985,0.0,29.9997,0.0,0.0,0.0,0
40,Punctate,Transition,1,1,14,6,9,0.0002999999999993008,0.0,21.928556925,13.850999999999999,0.0,0.0,28.214487,14.9985,0.0,29.99997,0.0,0.0,0.0,0
41,Punctate,Transition,1,1,14,9,10,0.0,0.0,21.928556925,13.850999999999999,0.0,0.0,28.214487,14.9985,0.0,29.99997,0.0,0.0,0.0,0
42,Punctate,Transition,1,1,15,1,3,4.875205724999997,0.0,26.316242077499997,13.850999999999999,0.0,0.0,28.214487,14.9985,0.0,29.99997,0.0,0.0,0.0,0
43,Punctate,Transition,1,1,15,3,6,0.2854845000000026,0.0,26.316242077499997,13.850999999999999,0.0,0.0,28.471423050000002,14.9985,0.0,29.99997,0.0,0.0,0.0,0
44,Punctate,Transition,1,1,15,6,9,2.999999999886427e-05,0.0,26.316242077499997,13.850999999999999,0.0,0.0,28.471423050000002,14.9985,0.0,29.999997,0.0,0.0,0.0,0
45,Punctate,Transition,1,1,15,9,10,0.0,0.0,26.316242077499997,13.850999999999999,0.0,0.0,28.471423050000002,14.9985,0.0,29.999997,0.0,0.0,0.0,0
46,Punctate,Transition,1,1,16,2,5,0.0,0.0,26.316242077499997,13.850999999999999,0.0,0.0,28.471423050000002,14.9985,0.0,29.999997,0.0,0.0,0.0,0
47,Punctate,Transition,1,1,16,5,8,0.0,0.0,26.316242077499997,13.850999999999999,0.0,0.0,28.471423050000002,14.9985,0.0,29.999997,0.0,0.0,0.0,0
48,Punctate,Transition,1,1,16,8,10,0.0,0.0,26.316242077499997,13.850999999999999,0.0,0.0,28.471423050000002,14.9985,0.0,29.999997,0.0,0.0,0.0,0
49,Punctate,Transition,1,1,17,3,6,0.028574099999996605,0.0,26.316242077499997,13.850999999999999,0.0,0.0,28.497139739999998,14.9985,0.0,29.999997,0.0,0.0,0.0,0
50,Punctate,Transition,1,1,17,6,9,2.9999999995311555e-06,0.0,26.316242077499997,13.850999999999999,0.0,0.0,28.497139739999998,14.9985,0.0,29.9999997,0.0,0.0,0.0,0
51,Punctate,Transition,1,1,17,9,10,0.0,0.0,26.316242077499997,13.850999999999999,0.0,0.0,28.497139739999998,14.9985,0.0,29.9999997,0.0,0.0,0.0,0
52,Punctate,Transition,1,1,18,5,8,0.0,0.0,26.316242077499997,13.850999999999999,0.0,0.0,28.497139739999998,14.9985,0.0,29.9999997,0.0,0.0,0.0,0
53,Punctate,Transition,1,1,18,8,10,0.0,0.0,26.316242077499997,13.850999999999999,0.0,0.0,28.497139739999998,14.9985,0.0,29.9999997,0.0,0.0,0.0,0
54,Punctate,Transition,1,1,19,2,4,0.3975749999999998,0.0,26.316242077499997,14.208817499999999,0.0,0.0,28.497139739999998,14.9985,0.0,29.9999997,0.0,0.0,0.0,0
55,Punctate,Transition,1,1,19,4,7,0.0015000000000000568,0.0,26.316242077499997,14.208817499999999,0.0,0.0,28.497139739999998,14.99985,0.0,29.9999997,0.0,0.0,0.0,0
56,Punctate,Transition,1,1,19,7,10,0.0,0.0,26.316242077499997,14.208817499999999,0.0,0.0,28.497139739999998,14.99985,0.0,29.9999997,0.0,0.0,0.0,0
57,Punctate,Transition,1,1,20,5,8,0.0,0.0,26.316242077499997,14.208817499999999,0.0,0.0,28.497139739999998,14.99985,0.0,29.9999997,0.0,0.0,0.0,0
58,Punctate,Transition,1,1,20,8,10,0.0,0.0,26.316242077499997,14.208817499999999,0.0,0.0,28.497139739999998,14.99985,0.0,29.9999997,0.0,0.0,0.0,0
59,Punctate,Transition,1,1,21,2,4,0.04104000000000063,0.0,26.316242077499997,14.2457535,0.0,0.0,28.497139739999998,14.99985,0.0,29.9999997,0.0,0.0,0.0,0
60,Punctate,Transition,1,1,21,4,7,0.0001499999999996504,0.0,26.316242077499997,14.2457535,0.0,0.0,28.497139739999998,14.999985,0.0,29.9999997,0.0,0.0,0.0,0
61,Punctate,Transition,1,1,21,7,10,0.0,0.0,26.316242077499997,14.2457535,0.0,0.0,28.497139739999998,14.999985,0.0,29.9999997,0.0,0.0,0.0,0
