,Model,Condition,Simulation,Phase,Episode,State,Action,RPE,VS1A2,VS1A3,VS2A4,VS2A5,VS3A5,VS3A6,VS4A7,VS5A8,VS6A9,VS7A10,VS8A10,VS9A10,VS10A11
0,ReducedSR,Policy,1,1,1,4,7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0125,0.0,0.0,0.0,0.0,0.0,0.0
1,ReducedSR,Policy,1,1,1,7,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0125,0.0,0.0,0.0,0.0,0.0,0.0
2,ReducedSR,Policy,1,1,2,6,9,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0125,0.0,6.075,0.0,0.0,0.0,0.0
3,ReducedSR,Policy,1,1,2,9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0125,0.0,6.075,0.0,0.0,0.0,0.0
4,ReducedSR,Policy,1,1,3,4,7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9769062500000003,0.0,6.075,0.0,0.0,0.0,0.0
5,ReducedSR,Policy,1,1,3,7,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9769062500000003,0.0,6.075,0.0,0.0,0.0,0.0
6,ReducedSR,Policy,1,1,4,2,4,0.0,0.0,0.0,0.4225637109375,0.0,0.0,0.0,1.9769062500000003,0.0,6.075,0.0,0.0,0.0,0.0
7,ReducedSR,Policy,1,1,4,4,7,0.04999999999999982,0.0,0.0,0.42640519921875,0.0,0.0,0.0,2.6699055468750004,0.0,6.075,0.0,0.0,0.0,0.0
8,ReducedSR,Policy,1,1,4,7,10,0.0,0.0,0.0,0.42640519921875,0.0,0.0,0.0,2.6699055468750004,0.0,6.075,0.0,0.0,0.0,0.0
9,ReducedSR,Policy,1,1,5,3,5,0.0,0.0,0.0,0.42640519921875,0.0,0.0,0.0,2.6699055468750004,0.0,6.075,0.0,0.0,0.0,0.0
10,ReducedSR,Policy,1,1,5,5,8,15.0,0.0,0.0,0.42640519921875,0.0,0.0,0.0,2.6699055468750004,3.0375,6.075,0.0,0.0,0.0,0.0
11,ReducedSR,Policy,1,1,5,8,10,0.0,0.0,0.0,0.42640519921875,0.0,0.0,0.0,2.6699055468750004,3.0375,6.075,0.0,0.0,0.0,0.0
12,ReducedSR,Policy,1,1,6,2,5,0.0,0.0,0.0,0.42640519921875,0.649265625,0.0,0.0,2.6699055468750004,3.0375,6.075,0.0,0.0,0.0,0.0
13,ReducedSR,Policy,1,1,6,5,8,1.5,0.0,0.0,0.42640519921875,0.7141921874999999,0.0,0.0,2.6699055468750004,5.9307187500000005,6.075,0.0,0.0,0.0,0.0
14,ReducedSR,Policy,1,1,6,8,10,0.0,0.0,0.0,0.42640519921875,0.7141921874999999,0.0,0.0,2.6699055468750004,5.9307187500000005,6.075,0.0,0.0,0.0,0.0
15,ReducedSR,Policy,1,1,7,2,5,0.0,0.0,0.0,0.42640519921875,1.8211900781250001,0.0,0.0,2.6699055468750004,5.9307187500000005,6.075,0.0,0.0,0.0,0.0
16,ReducedSR,Policy,1,1,7,5,8,0.15000000000000036,0.0,0.0,0.42640519921875,1.8377463515625,0.0,0.0,2.6699055468750004,8.009716640625001,6.075,0.0,0.0,0.0,0.0
17,ReducedSR,Policy,1,1,7,8,10,0.0,0.0,0.0,0.42640519921875,1.8377463515625,0.0,0.0,2.6699055468750004,8.009716640625001,6.075,0.0,0.0,0.0,0.0
18,ReducedSR,Policy,1,1,8,5,8,0.015000000000000568,0.0,0.0,0.42640519921875,1.8394019789062501,0.0,0.0,2.6699055468750004,9.587785266210938,6.075,0.0,0.0,0.0,0.0
19,ReducedSR,Policy,1,1,8,8,10,0.0,0.0,0.0,0.42640519921875,1.8394019789062501,0.0,0.0,2.6699055468750004,9.587785266210938,6.075,0.0,0.0,0.0,0.0
20,ReducedSR,Policy,1,1,9,2,4,0.0,0.0,0.0,0.9011563400390625,1.8394019789062501,0.0,0.0,2.6699055468750004,9.587785266210938,6.075,0.0,0.0,0.0,0.0
21,ReducedSR,Policy,1,1,9,4,7,0.004999999999999893,0.0,0.0,0.9019681925976563,1.8394019789062501,0.0,0.0,3.1959284220703132,9.587785266210938,6.075,0.0,0.0,0.0,0.0
22,ReducedSR,Policy,1,1,9,7,10,0.0,0.0,0.0,0.9019681925976563,1.8394019789062501,0.0,0.0,3.1959284220703132,9.587785266210938,6.075,0.0,0.0,0.0,0.0
23,ReducedSR,Policy,1,1,10,5,8,0.0015000000000000568,0.0,0.0,0.9019681925976563,1.8395675416406252,0.0,0.0,3.1959284220703132,10.806168646217287,6.075,0.0,0.0,0.0,0.0
24,ReducedSR,Policy,1,1,10,8,10,0.0,0.0,0.0,0.9019681925976563,1.8395675416406252,0.0,0.0,3.1959284220703132,10.806168646217287,6.075,0.0,0.0,0.0,0.0
25,ReducedSR,Policy,1,1,11,1,2,0.0,0.3932075620256836,0.0,0.9019681925976563,1.8395675416406252,0.0,0.0,3.1959284220703132,10.806168646217287,6.075,0.0,0.0,0.0,0.0
26,ReducedSR,Policy,1,1,11,2,4,0.0,0.3932075620256836,0.0,1.3821550494807129,1.8395675416406252,0.0,0.0,3.1959284220703132,10.806168646217287,6.075,0.0,0.0,0.0,0.0
27,ReducedSR,Policy,1,1,11,4,7,0.0004999999999997229,0.3932075620256836,0.0,1.3822794558758056,1.8395675416406252,0.0,0.0,3.6020562154057623,10.806168646217287,6.075,0.0,0.0,0.0,0.0
28,ReducedSR,Policy,1,1,11,7,10,0.0,0.3932075620256836,0.0,1.3822794558758056,1.8395675416406252,0.0,0.0,3.6020562154057623,10.806168646217287,6.075,0.0,0.0,0.0,0.0
29,ReducedSR,Policy,1,1,12,6,9,3.0,0.3932075620256836,0.0,1.3822794558758056,1.8395675416406252,0.0,0.0,3.6020562154057623,10.806168646217287,11.861437500000001,0.0,0.0,0.0,0.0
30,ReducedSR,Policy,1,1,12,9,10,0.0,0.3932075620256836,0.0,1.3822794558758056,1.8395675416406252,0.0,0.0,3.6020562154057623,10.806168646217287,11.861437500000001,0.0,0.0,0.0,0.0
31,ReducedSR,Policy,1,1,13,1,3,0.0,0.3932075620256836,0.0,1.3822794558758056,1.8395675416406252,0.0,0.0,3.6020562154057623,10.806168646217287,11.861437500000001,0.0,0.0,0.0,0.0
32,ReducedSR,Policy,1,1,13,3,5,0.0,0.3932075620256836,0.0,1.3822794558758056,1.8395675416406252,2.3098185481289453,0.0,3.6020562154057623,10.806168646217287,11.861437500000001,0.0,0.0,0.0,0.0
33,ReducedSR,Policy,1,1,13,5,8,0.0001499999999996504,0.39321110092913086,0.0,1.3822794558758056,1.8395840979140627,2.309839336703764,0.0,3.6020562154057623,11.749852699598442,11.861437500000001,0.0,0.0,0.0,0.0
34,ReducedSR,Policy,1,1,13,8,10,0.0,0.39321110092913086,0.0,1.3822794558758056,1.8395840979140627,2.309839336703764,0.0,3.6020562154057623,11.749852699598442,11.861437500000001,0.0,0.0,0.0,0.0
35,ReducedSR,Policy,1,1,14,2,5,0.0,0.39321110092913086,0.0,1.3822794558758056,3.937208690422566,2.309839336703764,0.0,3.6020562154057623,11.749852699598442,11.861437500000001,0.0,0.0,0.0,0.0
36,ReducedSR,Policy,1,1,14,5,8,1.4999999999432134e-05,0.39321145481947556,0.0,1.3822794558758056,3.9372122339139306,2.309841415561246,0.0,3.6020562154057623,12.481143700219247,11.861437500000001,0.0,0.0,0.0,0.0
37,ReducedSR,Policy,1,1,14,8,10,0.0,0.39321145481947556,0.0,1.3822794558758056,3.9372122339139306,2.309841415561246,0.0,3.6020562154057623,12.481143700219247,11.861437500000001,0.0,0.0,0.0,0.0
38,ReducedSR,Policy,1,1,15,1,2,0.0,1.1463179924841962,0.0,1.3822794558758056,3.9372122339139306,2.309841415561246,0.0,3.6020562154057623,12.481143700219247,11.861437500000001,0.0,0.0,0.0,0.0
