,Model,Condition,Simulation,Phase,Episode,State,Action,RPE,VS1A2,VS1A3,VS2A4,VS2A5,VS3A5,VS3A6,VS4A7,VS5A8,VS6A9,VS7A10,VS8A10,VS9A10,VS10A11
0,ReducedSR,Transition,1,1,1,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ReducedSR,Transition,1,1,1,6,9,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.075,0.0,0.0,0.0,0.0
2,ReducedSR,Transition,1,1,1,9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.075,0.0,0.0,0.0,0.0
3,ReducedSR,Transition,1,1,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.075,0.0,0.0,0.0,0.0
4,ReducedSR,Transition,1,1,2,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.075,0.0,0.0,0.0,0.0
5,ReducedSR,Transition,1,1,2,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.075,0.0,0.0,0.0,0.0
6,ReducedSR,Transition,1,1,2,8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.075,0.0,0.0,0.0,0.0
7,ReducedSR,Transition,1,1,3,3,6,0.0,0.0,0.0,0.0,0.0,0.0,1.29853125,0.0,0.0,6.075,0.0,0.0,0.0,0.0
8,ReducedSR,Transition,1,1,3,6,9,3.0,0.0,0.0,0.0,0.0,0.0,1.4283843749999998,0.0,0.0,11.861437500000001,0.0,0.0,0.0,0.0
9,ReducedSR,Transition,1,1,3,9,10,0.0,0.0,0.0,0.0,0.0,0.0,1.4283843749999998,0.0,0.0,11.861437500000001,0.0,0.0,0.0,0.0
10,ReducedSR,Transition,1,1,4,3,6,0.0,0.0,0.0,0.0,0.0,0.0,3.6423801562500002,0.0,0.0,11.861437500000001,0.0,0.0,0.0,0.0
11,ReducedSR,Transition,1,1,4,6,9,0.3000000000000007,0.0,0.0,0.0,0.0,0.0,3.675492703125,0.0,0.0,16.019433281250002,0.0,0.0,0.0,0.0
12,ReducedSR,Transition,1,1,4,9,10,0.0,0.0,0.0,0.0,0.0,0.0,3.675492703125,0.0,0.0,16.019433281250002,0.0,0.0,0.0,0.0
13,ReducedSR,Transition,1,1,5,1,2,0.0,0.0,0.0,0.0,0.0,0.0,3.675492703125,0.0,0.0,16.019433281250002,0.0,0.0,0.0,0.0
14,ReducedSR,Transition,1,1,5,2,5,0.0,0.0,0.0,0.0,0.0,0.0,3.675492703125,0.0,0.0,16.019433281250002,0.0,0.0,0.0,0.0
15,ReducedSR,Transition,1,1,5,5,8,0.0,0.0,0.0,0.0,0.0,0.0,3.675492703125,0.0,0.0,16.019433281250002,0.0,0.0,0.0,0.0
16,ReducedSR,Transition,1,1,5,8,10,0.0,0.0,0.0,0.0,0.0,0.0,3.675492703125,0.0,0.0,16.019433281250002,0.0,0.0,0.0,0.0
17,ReducedSR,Transition,1,1,6,1,3,0.0,0.0,0.7856365652929687,0.0,0.0,0.0,3.675492703125,0.0,0.0,16.019433281250002,0.0,0.0,0.0,0.0
18,ReducedSR,Transition,1,1,6,3,6,0.0,0.0,0.7856365652929687,0.0,0.0,0.0,6.272660708789062,0.0,0.0,16.019433281250002,0.0,0.0,0.0,0.0
19,ReducedSR,Transition,1,1,6,6,9,0.030000000000001137,0.0,0.7863443459824219,0.0,0.0,0.0,6.278311754472656,0.0,0.0,19.175570532421876,0.0,0.0,0.0,0.0
20,ReducedSR,Transition,1,1,6,9,10,0.0,0.0,0.7863443459824219,0.0,0.0,0.0,6.278311754472656,0.0,0.0,19.175570532421876,0.0,0.0,0.0,0.0
21,ReducedSR,Transition,1,1,7,4,7,15.0,0.0,0.7863443459824219,0.0,0.0,0.0,6.278311754472656,3.0375,0.0,19.175570532421876,0.0,0.0,0.0,0.0
22,ReducedSR,Transition,1,1,7,7,10,0.0,0.0,0.7863443459824219,0.0,0.0,0.0,6.278311754472656,3.0375,0.0,19.175570532421876,0.0,0.0,0.0,0.0
23,ReducedSR,Transition,1,1,8,6,9,0.0030000000000001137,0.0,0.7864151240513672,0.0,0.0,0.0,6.2788768590410164,3.0375,0.0,21.612337292434574,0.0,0.0,0.0,0.0
24,ReducedSR,Transition,1,1,8,9,10,0.0,0.0,0.7864151240513672,0.0,0.0,0.0,6.2788768590410164,3.0375,0.0,21.612337292434574,0.0,0.0,0.0,0.0
