,Model,Condition,Simulation,Phase,Episode,State,Action,RPE,VS1A2,VS1A3,VS2A4,VS2A5,VS3A5,VS3A6,VS4A7,VS5A8,VS6A9,VS7A10,VS8A10,VS9A10,VS10A11
0,FullSR,Control,1,1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,FullSR,Control,1,1,1,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,FullSR,Control,1,1,1,6,9,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.075,0.0,0.0,0.0,0.0
3,FullSR,Control,1,1,1,9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.075,0.0,0.0,0.0,0.0
4,FullSR,Control,1,1,2,6,9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.861437500000001,0.0,0.0,0.0,0.0
5,FullSR,Control,1,1,2,9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.861437500000001,0.0,0.0,0.0,0.0
6,FullSR,Control,1,1,3,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.861437500000001,0.0,0.0,0.0,0.0
7,FullSR,Control,1,1,3,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.861437500000001,0.0,0.0,0.0,0.0
8,FullSR,Control,1,1,3,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.861437500000001,0.0,0.0,0.0,0.0
9,FullSR,Control,1,1,3,8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.861437500000001,0.0,0.0,0.0,0.0
10,FullSR,Control,1,1,4,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.861437500000001,0.0,0.0,0.0,0.0
11,FullSR,Control,1,1,4,3,6,0.0,0.0,0.0,0.0,0.0,0.0,2.535382265625,0.0,0.0,11.861437500000001,0.0,0.0,0.0,0.0
12,FullSR,Control,1,1,4,6,9,0.3000000000000007,0.0,0.0,0.0,0.0,0.0,2.5584311953125,0.0,0.0,16.019433281250002,0.0,0.0,0.0,0.0
13,FullSR,Control,1,1,4,9,10,0.0,0.0,0.0,0.0,0.0,0.0,2.5584311953125,0.0,0.0,16.019433281250002,0.0,0.0,0.0,0.0
14,FullSR,Control,1,1,5,3,6,0.0,0.0,0.0,0.0,0.0,0.0,5.406938040234374,0.0,0.0,16.019433281250002,0.0,0.0,0.0,0.0
15,FullSR,Control,1,1,5,6,9,0.030000000000001137,0.0,0.0,0.0,0.0,0.0,5.411809155585937,0.0,0.0,19.175570532421876,0.0,0.0,0.0,0.0
16,FullSR,Control,1,1,5,9,10,0.0,0.0,0.0,0.0,0.0,0.0,5.411809155585937,0.0,0.0,19.175570532421876,0.0,0.0,0.0,0.0
17,FullSR,Control,1,1,6,6,9,0.0030000000000001137,0.0,0.0,0.0,0.0,0.0,5.412296267121094,0.0,0.0,21.612337292434574,0.0,0.0,0.0,0.0
18,FullSR,Control,1,1,6,9,10,0.0,0.0,0.0,0.0,0.0,0.0,5.412296267121094,0.0,0.0,21.612337292434574,0.0,0.0,0.0,0.0
19,FullSR,Control,1,1,7,2,4,0.0,0.0,0.0,0.0,0.0,0.0,5.412296267121094,0.0,0.0,21.612337292434574,0.0,0.0,0.0,0.0
20,FullSR,Control,1,1,7,4,7,15.0,0.0,0.0,0.0,0.0,0.0,5.412296267121094,3.0375,0.0,21.612337292434574,0.0,0.0,0.0,0.0
21,FullSR,Control,1,1,7,7,10,0.0,0.0,0.0,0.0,0.0,0.0,5.412296267121094,3.0375,0.0,21.612337292434574,0.0,0.0,0.0,0.0
22,FullSR,Control,1,1,8,5,8,0.0,0.0,0.0,0.0,0.0,0.0,5.412296267121094,3.0375,0.0,21.612337292434574,0.0,0.0,0.0,0.0
23,FullSR,Control,1,1,8,8,10,0.0,0.0,0.0,0.0,0.0,0.0,5.412296267121094,3.0375,0.0,21.612337292434574,0.0,0.0,0.0,0.0
24,FullSR,Control,1,1,9,1,2,0.0,0.0,0.0,0.0,0.0,0.0,5.412296267121094,3.0375,0.0,21.612337292434574,0.0,0.0,0.0,0.0
25,FullSR,Control,1,1,9,2,5,0.0,0.0,0.0,0.0,0.0,0.0,5.412296267121094,3.0375,0.0,21.612337292434574,0.0,0.0,0.0,0.0
26,FullSR,Control,1,1,9,5,8,0.0,0.0,0.0,0.0,0.0,0.0,5.412296267121094,3.0375,0.0,21.612337292434574,0.0,0.0,0.0,0.0
27,FullSR,Control,1,1,9,8,10,0.0,0.0,0.0,0.0,0.0,0.0,5.412296267121094,3.0375,0.0,21.612337292434574,0.0,0.0,0.0,0.0
28,FullSR,Control,1,1,10,1,3,0.0,0.0,1.1568783270971337,0.0,0.0,0.0,5.412296267121094,3.0375,0.0,21.612337292434574,0.0,0.0,0.0,0.0
29,FullSR,Control,1,1,10,3,6,0.0,0.0,1.1568783270971337,0.0,0.0,0.0,8.814166703276737,3.0375,0.0,21.612337292434574,0.0,0.0,0.0,0.0
30,FullSR,Control,1,1,10,6,9,0.0002999999999993008,0.0,1.1568887391061977,0.0,0.0,0.0,8.814246031570349,3.0375,0.0,23.499705399196884,0.0,0.0,0.0,0.0
31,FullSR,Control,1,1,10,9,10,0.0,0.0,1.1568887391061977,0.0,0.0,0.0,8.814246031570349,3.0375,0.0,23.499705399196884,0.0,0.0,0.0,0.0
32,FullSR,Control,1,1,11,1,3,0.0,0.0,0.8965887728073032,0.0,0.0,0.0,8.814246031570349,3.0375,0.0,23.499705399196884,0.0,0.0,0.0,0.0
33,FullSR,Control,1,1,11,3,6,0.0,0.0,0.8965887728073032,0.0,0.0,0.0,11.854102703545355,3.0375,0.0,23.499705399196884,0.0,0.0,0.0,0.0
34,FullSR,Control,1,1,11,6,9,2.999999999886427e-05,0.0,0.8965895797380057,0.0,0.0,0.0,11.854113372248456,3.0375,0.0,24.962287400438495,0.0,0.0,0.0,0.0
