,Model,Condition,Simulation,Phase,Episode,State,Action,RPE,VS1A2,VS1A3,VS2A4,VS2A5,VS3A5,VS3A6,VS4A7,VS5A8,VS6A9,VS7A10,VS8A10,VS9A10,VS10A11
0,FullSR,Goal,1,1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,FullSR,Goal,1,1,1,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,FullSR,Goal,1,1,1,6,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,FullSR,Goal,1,1,1,9,10,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.77125,0.0,0.0,27.0,0.0
4,FullSR,Goal,1,1,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.77125,0.0,0.0,27.0,0.0
5,FullSR,Goal,1,1,2,3,6,5.4826875,0.0,1.836434079076813,0.0,0.0,0.0,4.934418750000001,0.0,0.0,6.779897833889436,0.0,0.0,27.0,0.0
6,FullSR,Goal,1,1,2,6,9,18.870102166110563,0.0,2.5784725849294357,0.0,0.0,0.0,12.655680168962396,0.0,0.0,23.762989783388946,0.0,0.0,30.471525173579522,0.0
7,FullSR,Goal,1,1,2,9,10,-0.47152517357952206,0.0,2.5784725849294357,0.0,0.0,0.0,12.636290980148997,0.0,0.0,28.64977873732516,0.0,0.0,30.04715251735795,0.0
8,FullSR,Goal,1,1,4,8,10,0.0,0.0,2.5784725849294357,0.0,0.0,0.0,12.636290980148997,0.0,0.0,28.64977873732516,0.0,0.0,30.04715251735795,0.0
9,FullSR,Goal,1,1,5,1,2,0.0,0.0,2.5784725849294357,0.0,0.0,0.0,12.636290980148997,0.0,0.0,28.64977873732516,0.0,0.0,30.04715251735795,0.0
10,FullSR,Goal,1,1,5,2,4,0.0,0.0,2.5784725849294357,0.0,0.0,0.0,12.636290980148997,0.0,0.0,28.64977873732516,0.0,0.0,30.04715251735795,0.0
11,FullSR,Goal,1,1,5,4,7,0.0,0.0,2.5784725849294357,0.0,0.0,0.0,12.636290980148997,0.0,0.0,28.64977873732516,0.0,0.0,30.04715251735795,0.0
12,FullSR,Goal,1,1,5,7,10,20.0,0.0,2.5784725849294357,0.0,0.0,0.0,12.636290980148997,3.8475,0.0,28.64977873732516,18.0,0.0,30.04715251735795,0.0
13,FullSR,Goal,1,1,6,1,2,0.0,0.0,2.5784725849294357,0.0,0.0,0.0,12.636290980148997,3.8475,0.0,28.64977873732516,18.0,0.0,30.04715251735795,0.0
14,FullSR,Goal,1,1,6,2,5,0.0,0.0,2.5784725849294357,0.0,0.0,0.0,12.636290980148997,3.8475,0.0,28.64977873732516,18.0,0.0,30.04715251735795,0.0
15,FullSR,Goal,1,1,6,5,8,0.0,0.0,2.5784725849294357,0.0,0.0,0.0,12.636290980148997,3.8475,0.0,28.64977873732516,18.0,0.0,30.04715251735795,0.0
16,FullSR,Goal,1,1,6,8,10,0.0,0.0,2.5784725849294357,0.0,0.0,0.0,12.636290980148997,3.8475,0.0,28.64977873732516,18.0,0.0,30.04715251735795,0.0
17,FullSR,Goal,1,1,7,3,6,14.580998820309903,0.0,7.121426650888107,0.0,0.0,0.0,25.75918991842791,3.8475,0.0,33.19273280328383,18.0,0.0,30.570323377214848,0.0
18,FullSR,Goal,1,1,7,6,9,-4.150925594929728,0.0,6.972218343746832,0.0,0.0,0.0,28.89379321201906,3.8475,0.0,29.456899767847077,18.0,0.0,29.331283633702505,0.0
19,FullSR,Goal,1,1,7,9,10,0.6687163662974953,0.0,6.972218343746832,0.0,0.0,0.0,28.963912401765228,3.8475,0.0,33.52816601128211,18.0,0.0,29.93312836337025,0.0
20,FullSR,Goal,1,1,8,2,4,3.655125,0.5211347141762086,6.972218343746832,3.2896125,0.0,0.0,28.963912401765228,4.519931889259624,0.0,33.52816601128211,18.0,0.0,29.93312836337025,0.0
21,FullSR,Goal,1,1,8,4,7,12.580068110740374,0.5211347141762086,6.972218343746832,8.437120112641596,0.0,0.0,28.963912401765228,15.841993188925962,0.0,33.52816601128211,20.31435011571968,0.0,29.93312836337025,0.0
22,FullSR,Goal,1,1,8,7,10,-0.3143501157196802,0.5211347141762086,6.972218343746832,8.424193986765998,0.0,0.0,28.963912401765228,19.09985249155011,0.0,33.52816601128211,20.03143501157197,0.0,29.93312836337025,0.0
23,FullSR,Goal,1,1,9,8,10,0.0,0.5211347141762086,6.972218343746832,8.424193986765998,0.0,0.0,28.963912401765228,19.09985249155011,0.0,33.52816601128211,20.03143501157197,0.0,29.93312836337025,0.0
24,FullSR,Goal,1,1,10,7,10,-0.031435011571968374,0.5211347141762086,6.972218343746832,8.422901374178437,0.0,0.0,28.963912401765228,19.0891185156768,0.0,33.52816601128211,20.003143501157197,0.0,29.93312836337025,0.0
25,FullSR,Goal,1,1,11,6,9,-5.091694066080372,0.5211347141762086,6.805766725415443,8.422901374178437,0.0,0.0,26.89843104999821,19.0891185156768,0.0,28.945641351809776,20.003143501157197,0.0,28.083179236827533,0.0
26,FullSR,Goal,1,1,11,9,10,1.916820763172467,0.5211347141762086,6.805766725415443,8.422901374178437,0.0,0.0,27.099421971674694,19.0891185156768,0.0,32.78749596453589,20.003143501157197,0.0,29.808317923682754,0.0
27,FullSR,Goal,1,1,12,2,4,9.711761215714525,1.7845608197491187,6.805766725415443,17.163486468321512,0.0,0.0,27.099421971674694,22.114980162486283,0.0,32.78749596453589,20.35160457221037,0.0,29.808317923682754,0.0
