,Model,Condition,Simulation,Phase,Episode,State,Action,RPE,VS1A2,VS1A3,VS2A4,VS2A5,VS3A5,VS3A6,VS4A7,VS5A8,VS6A9,VS7A10,VS8A10,VS9A10,VS10A11
0,FullSR,Policy,1,1,1,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,FullSR,Policy,1,1,1,4,7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0125,0.0,0.0,0.0,0.0,0.0,0.0
2,FullSR,Policy,1,1,1,7,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0125,0.0,0.0,0.0,0.0,0.0,0.0
3,FullSR,Policy,1,1,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0125,0.0,0.0,0.0,0.0,0.0,0.0
4,FullSR,Policy,1,1,2,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0125,0.0,0.0,0.0,0.0,0.0,0.0
5,FullSR,Policy,1,1,2,6,9,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0125,0.0,6.075,0.0,0.0,0.0,0.0
6,FullSR,Policy,1,1,2,9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0125,0.0,6.075,0.0,0.0,0.0,0.0
7,FullSR,Policy,1,1,3,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0125,0.0,6.075,0.0,0.0,0.0,0.0
8,FullSR,Policy,1,1,3,5,8,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0125,3.0375,6.075,0.0,0.0,0.0,0.0
9,FullSR,Policy,1,1,3,8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0125,3.0375,6.075,0.0,0.0,0.0,0.0
10,FullSR,Policy,1,1,4,2,5,0.0,0.0,0.0,0.0,0.649265625,0.0,0.0,1.0125,3.0375,6.075,0.0,0.0,0.0,0.0
11,FullSR,Policy,1,1,4,5,8,1.5,0.0,0.0,0.0,0.7141921874999999,0.0,0.0,1.0125,5.9307187500000005,6.075,0.0,0.0,0.0,0.0
12,FullSR,Policy,1,1,4,8,10,0.0,0.0,0.0,0.0,0.7141921874999999,0.0,0.0,1.0125,5.9307187500000005,6.075,0.0,0.0,0.0,0.0
13,FullSR,Policy,1,1,5,6,9,3.0,0.0,0.0,0.0,0.7141921874999999,0.0,0.0,1.0125,5.9307187500000005,11.861437500000001,0.0,0.0,0.0,0.0
14,FullSR,Policy,1,1,5,9,10,0.0,0.0,0.0,0.0,0.7141921874999999,0.0,0.0,1.0125,5.9307187500000005,11.861437500000001,0.0,0.0,0.0,0.0
15,FullSR,Policy,1,1,6,3,6,0.0,0.0,0.0,0.0,0.7141921874999999,0.0,2.535382265625,1.0125,5.9307187500000005,11.861437500000001,0.0,0.0,0.0,0.0
16,FullSR,Policy,1,1,6,6,9,0.3000000000000007,0.0,0.0,0.0,0.7141921874999999,0.0,2.5584311953125,1.0125,5.9307187500000005,16.019433281250002,0.0,0.0,0.0,0.0
17,FullSR,Policy,1,1,6,9,10,0.0,0.0,0.0,0.0,0.7141921874999999,0.0,2.5584311953125,1.0125,5.9307187500000005,16.019433281250002,0.0,0.0,0.0,0.0
18,FullSR,Policy,1,1,7,1,3,0.0,0.0,0.5468646679980468,0.0,0.7141921874999999,0.0,2.5584311953125,1.0125,5.9307187500000005,16.019433281250002,0.0,0.0,0.0,0.0
19,FullSR,Policy,1,1,7,3,6,0.0,0.0,0.5468646679980468,0.0,0.7141921874999999,0.0,5.406938040234374,1.0125,5.9307187500000005,16.019433281250002,0.0,0.0,0.0,0.0
20,FullSR,Policy,1,1,7,6,9,0.030000000000001137,0.0,0.5473573388701172,0.0,0.7141921874999999,0.0,5.411809155585937,1.0125,5.9307187500000005,19.175570532421876,0.0,0.0,0.0,0.0
21,FullSR,Policy,1,1,7,9,10,0.0,0.0,0.5473573388701172,0.0,0.7141921874999999,0.0,5.411809155585937,1.0125,5.9307187500000005,19.175570532421876,0.0,0.0,0.0,0.0
22,FullSR,Policy,1,1,8,1,3,0.0,0.0,1.5809761446308348,0.0,0.7141921874999999,0.0,5.411809155585937,1.0125,5.9307187500000005,19.175570532421876,0.0,0.0,0.0,0.0
23,FullSR,Policy,1,1,8,3,6,0.0,0.0,1.5809761446308348,0.0,0.7141921874999999,0.0,8.292930296884277,1.0125,5.9307187500000005,19.175570532421876,0.0,0.0,0.0,0.0
24,FullSR,Policy,1,1,8,6,9,0.0030000000000001137,0.0,1.58111844671406,0.0,0.7141921874999999,0.0,8.293676735254834,1.0125,5.9307187500000005,21.612337292434574,0.0,0.0,0.0,0.0
25,FullSR,Policy,1,1,8,9,10,0.0,0.0,1.58111844671406,0.0,0.7141921874999999,0.0,8.293676735254834,1.0125,5.9307187500000005,21.612337292434574,0.0,0.0,0.0,0.0
26,FullSR,Policy,1,1,9,1,3,0.0,0.0,2.9981401983641174,0.0,0.7141921874999999,0.0,8.293676735254834,1.0125,5.9307187500000005,21.612337292434574,0.0,0.0,0.0,0.0
