,Model,Condition,Simulation,Phase,Episode,State,Action,RPE,VS1A2,VS1A3,VS2A4,VS2A5,VS3A5,VS3A6,VS4A7,VS5A8,VS6A9,VS7A10,VS8A10,VS9A10,VS10A11
0,FullSR,Transition,1,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,FullSR,Transition,1,1,1,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,FullSR,Transition,1,1,1,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,FullSR,Transition,1,1,1,8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,FullSR,Transition,1,1,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,FullSR,Transition,1,1,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,FullSR,Transition,1,1,2,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,FullSR,Transition,1,1,2,7,10,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8475,0.0,0.0,18.0,0.0,0.0,0.0
8,FullSR,Transition,1,1,3,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8475,0.0,0.0,18.0,0.0,0.0,0.0
9,FullSR,Transition,1,1,3,8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8475,0.0,0.0,18.0,0.0,0.0,0.0
10,FullSR,Transition,1,1,4,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8475,0.0,0.0,18.0,0.0,0.0,0.0
11,FullSR,Transition,1,1,4,8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8475,0.0,0.0,18.0,0.0,0.0,0.0
12,FullSR,Transition,1,1,5,9,10,30.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8475,0.0,0.0,18.0,0.0,27.0,0.0
13,FullSR,Transition,1,1,6,7,10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23225,0.0,0.0,19.8,0.0,27.0,0.0
14,FullSR,Transition,1,1,7,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23225,0.0,0.0,19.8,0.0,27.0,0.0
15,FullSR,Transition,1,1,7,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23225,0.0,0.0,19.8,0.0,27.0,0.0
16,FullSR,Transition,1,1,7,8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23225,0.0,0.0,19.8,0.0,27.0,0.0
17,FullSR,Transition,1,1,8,8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23225,0.0,0.0,19.8,0.0,27.0,0.0
18,FullSR,Transition,1,1,9,6,9,25.65,0.0,0.0,0.0,0.0,0.0,0.0,4.23225,0.0,23.085,19.8,0.0,27.0,0.0
19,FullSR,Transition,1,1,9,9,10,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23225,0.0,29.433375,19.8,0.0,29.7,0.0
20,FullSR,Transition,1,1,10,8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23225,0.0,29.433375,19.8,0.0,29.7,0.0
21,FullSR,Transition,1,1,11,7,10,0.1999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,4.270725,0.0,29.433375,19.98,0.0,29.7,0.0
22,FullSR,Transition,1,1,12,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.270725,0.0,29.433375,19.98,0.0,29.7,0.0
23,FullSR,Transition,1,1,12,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.270725,0.0,29.433375,19.98,0.0,29.7,0.0
24,FullSR,Transition,1,1,12,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.270725,0.0,29.433375,19.98,0.0,29.7,0.0
25,FullSR,Transition,1,1,12,8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.270725,0.0,29.433375,19.98,0.0,29.7,0.0
26,FullSR,Transition,1,1,13,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.270725,0.0,29.433375,19.98,0.0,29.7,0.0
27,FullSR,Transition,1,1,13,3,6,27.96170625,0.0,5.37913323984375,0.0,0.0,0.0,25.165535625,4.270725,0.0,29.433375,19.98,0.0,29.7,0.0
28,FullSR,Transition,1,1,13,6,9,-1.2183750000000053,0.0,5.37913323984375,0.0,0.0,0.0,31.222534640625,4.270725,0.0,28.336837499999998,19.98,0.0,29.475856036913456,0.0
29,FullSR,Transition,1,1,13,9,10,0.5241439630865443,0.0,5.37913323984375,0.0,0.0,0.0,31.244087522284612,4.270725,0.0,33.39867442256026,19.98,0.0,29.947585603691344,0.0
30,FullSR,Transition,1,1,14,3,5,0.0,0.0,5.37913323984375,0.0,0.0,0.0,31.244087522284612,4.270725,0.0,33.39867442256026,19.98,0.0,29.947585603691344,0.0
31,FullSR,Transition,1,1,14,5,8,0.0,0.0,5.37913323984375,0.0,0.0,0.0,31.244087522284612,4.270725,0.0,33.39867442256026,19.98,0.0,29.947585603691344,0.0
32,FullSR,Transition,1,1,14,8,10,0.0,0.0,5.37913323984375,0.0,0.0,0.0,31.244087522284612,4.270725,0.0,33.39867442256026,19.98,0.0,29.947585603691344,0.0
33,FullSR,Transition,1,1,15,2,5,0.0,0.0,5.37913323984375,0.0,0.0,0.0,31.244087522284612,4.270725,0.0,33.39867442256026,19.98,0.0,29.947585603691344,0.0
34,FullSR,Transition,1,1,15,5,8,0.0,0.0,5.37913323984375,0.0,0.0,0.0,31.244087522284612,4.270725,0.0,33.39867442256026,19.98,0.0,29.947585603691344,0.0
35,FullSR,Transition,1,1,15,8,10,0.0,0.0,5.37913323984375,0.0,0.0,0.0,31.244087522284612,4.270725,0.0,33.39867442256026,19.98,0.0,29.947585603691344,0.0
36,FullSR,Transition,1,1,16,9,10,0.05241439630865585,0.0,5.37913323984375,0.0,0.0,0.0,31.246242810450575,4.270725,0.0,33.4165721371548,19.98,0.0,29.994758560369135,0.0
37,FullSR,Transition,1,1,17,4,7,14.710275,0.0,5.37913323984375,2.706243428002767,0.0,0.0,31.246242810450575,17.5099725,0.0,33.4165721371548,22.68624342800277,0.0,29.994758560369135,0.0
38,FullSR,Transition,1,1,17,7,10,-2.6862434280027685,0.0,5.37913323984375,2.706243428002767,0.0,0.0,31.246242810450575,20.350830721824977,0.0,33.4165721371548,20.268624342800276,0.0,29.994758560369135,0.0
39,FullSR,Transition,1,1,18,6,9,-4.921551504804125,0.0,5.37913323984375,2.706243428002767,0.0,0.0,30.35147765373264,20.350830721824977,0.0,28.987175782831088,20.268624342800276,0.0,28.525689126399065,0.0
40,FullSR,Transition,1,1,18,9,10,1.4743108736009347,0.0,5.37913323984375,2.706243428002767,0.0,0.0,30.412101547216185,20.350830721824977,0.0,33.32318234640377,20.268624342800276,0.0,29.852568912639907,0.0
41,FullSR,Transition,1,1,20,4,7,-1.095637596164714,0.0,5.37913323984375,2.5219928506874276,0.0,0.0,30.412101547216185,19.364756885276734,0.0,33.32318234640377,19.94157956806555,0.0,29.852568912639907,0.0
42,FullSR,Transition,1,1,20,7,10,0.05842043193445079,0.0,5.37913323984375,2.5219928506874276,0.0,0.0,30.412101547216185,21.95162730707998,0.0,33.32318234640377,19.994157956806553,0.0,29.852568912639907,0.0
43,FullSR,Transition,1,1,22,2,4,18.332053091038553,3.3725404997133572,5.37913323984375,19.02084063262213,0.0,0.0,30.412101547216185,25.32416780679334,0.0,33.32318234640377,19.994157956806553,0.0,29.852568912639907,0.0
44,FullSR,Transition,1,1,22,4,7,-6.3297177478271145,3.3725404997133572,5.37913323984375,21.736306159897477,0.0,0.0,30.412101547216185,19.62742183374894,0.0,33.32318234640377,17.694401595390108,0.0,29.852568912639907,0.0
