,Model,Condition,Simulation,Phase,Episode,State,Action,RPE,VS1A2,VS1A3,VS2A4,VS2A5,VS3A5,VS3A6,VS4A7,VS5A8,VS6A9,VS7A10,VS8A10,VS9A10,VS10A11
0,ModelBased,Control,1,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ModelBased,Control,1,1,1,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,ModelBased,Control,1,1,1,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ModelBased,Control,1,1,1,7,10,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0
4,ModelBased,Control,1,1,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.099999999999998,0.0,0.0,18.0,0.0,0.0,0.0
5,ModelBased,Control,1,1,2,2,4,0.0,0.0,0.0,16.244999999999997,0.0,0.0,0.0,17.099999999999998,0.0,0.0,18.0,0.0,0.0,0.0
6,ModelBased,Control,1,1,2,4,7,0.0,11.574562499999997,0.0,16.244999999999997,0.0,0.0,0.0,17.099999999999998,0.0,0.0,18.0,0.0,0.0,0.0
7,ModelBased,Control,1,1,2,7,10,2.0,11.574562499999997,0.0,16.244999999999997,0.0,0.0,0.0,17.099999999999998,0.0,0.0,19.8,0.0,0.0,0.0
8,ModelBased,Control,1,1,3,1,3,0.0,11.574562499999997,0.0,16.244999999999997,0.0,0.0,0.0,18.81,0.0,0.0,19.8,0.0,0.0,0.0
9,ModelBased,Control,1,1,3,3,5,0.0,11.574562499999997,0.0,17.8695,0.0,0.0,0.0,18.81,0.0,0.0,19.8,0.0,0.0,0.0
10,ModelBased,Control,1,1,3,5,8,0.0,12.732018749999998,0.0,17.8695,0.0,0.0,0.0,18.81,0.0,0.0,19.8,0.0,0.0,0.0
11,ModelBased,Control,1,1,3,8,10,0.0,12.732018749999998,0.0,17.8695,0.0,0.0,0.0,18.81,0.0,0.0,19.8,0.0,0.0,0.0
12,ModelBased,Control,1,1,4,1,2,0.0,12.732018749999998,0.0,17.8695,0.0,0.0,0.0,18.81,0.0,0.0,19.8,0.0,0.0,0.0
13,ModelBased,Control,1,1,4,2,4,0.0,12.732018749999998,0.0,17.8695,0.0,0.0,0.0,18.81,0.0,0.0,19.8,0.0,0.0,0.0
14,ModelBased,Control,1,1,4,4,7,0.0,12.732018749999998,0.0,17.8695,0.0,0.0,0.0,18.81,0.0,0.0,19.8,0.0,0.0,0.0
15,ModelBased,Control,1,1,4,7,10,0.1999999999999993,12.732018749999998,0.0,17.8695,0.0,0.0,0.0,18.81,0.0,0.0,19.98,0.0,0.0,0.0
16,ModelBased,Control,1,1,5,5,8,0.0,12.732018749999998,0.0,17.8695,0.0,0.0,0.0,18.980999999999998,0.0,0.0,19.98,0.0,0.0,0.0
