,Model,Condition,Simulation,Phase,Episode,State,Action,RPE,VS1A2,VS1A3,VS2A4,VS2A5,VS3A5,VS3A6,VS4A7,VS5A8,VS6A9,VS7A10,VS8A10,VS9A10,VS10A11
0,Punctate,Reward,1,1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,Punctate,Reward,1,1,1,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,Punctate,Reward,1,1,1,6,9,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0
3,Punctate,Reward,1,1,1,9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0
4,Punctate,Reward,1,1,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0
5,Punctate,Reward,1,1,2,4,7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,27.0,0.0,0.0,0.0,0
6,Punctate,Reward,1,1,2,7,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,27.0,0.0,0.0,0.0,0
7,Punctate,Reward,1,1,3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,27.0,0.0,0.0,0.0,0
8,Punctate,Reward,1,1,3,3,6,25.65,0.0,0.0,0.0,0.0,0.0,23.085,13.5,0.0,27.0,0.0,0.0,0.0,0
9,Punctate,Reward,1,1,3,6,9,3.0,0.0,0.0,0.0,0.0,0.0,23.085,13.5,0.0,29.7,0.0,0.0,0.0,0
10,Punctate,Reward,1,1,3,9,10,0.0,0.0,0.0,0.0,0.0,0.0,23.085,13.5,0.0,29.7,0.0,0.0,0.0,0
11,Punctate,Reward,1,1,4,2,5,0.0,0.0,0.0,0.0,0.0,0.0,23.085,13.5,0.0,29.7,0.0,0.0,0.0,0
12,Punctate,Reward,1,1,4,5,8,0.0,0.0,0.0,0.0,0.0,0.0,23.085,13.5,0.0,29.7,0.0,0.0,0.0,0
13,Punctate,Reward,1,1,4,8,10,0.0,0.0,0.0,0.0,0.0,0.0,23.085,13.5,0.0,29.7,0.0,0.0,0.0,0
14,Punctate,Reward,1,1,5,1,2,0.0,0.0,0.0,0.0,0.0,0.0,23.085,13.5,0.0,29.7,0.0,0.0,0.0,0
15,Punctate,Reward,1,1,5,2,4,12.825,0.0,0.0,11.5425,0.0,0.0,23.085,13.5,0.0,29.7,0.0,0.0,0.0,0
16,Punctate,Reward,1,1,5,4,7,1.5,0.0,0.0,11.5425,0.0,0.0,23.085,14.85,0.0,29.7,0.0,0.0,0.0,0
17,Punctate,Reward,1,1,5,7,10,0.0,0.0,0.0,11.5425,0.0,0.0,23.085,14.85,0.0,29.7,0.0,0.0,0.0,0
18,Punctate,Reward,1,1,6,1,3,21.93075,0.0,19.737675,11.5425,0.0,0.0,23.085,14.85,0.0,29.7,0.0,0.0,0.0,0
19,Punctate,Reward,1,1,6,3,6,5.1299999999999955,0.0,19.737675,11.5425,0.0,0.0,27.701999999999998,14.85,0.0,29.7,0.0,0.0,0.0,0
20,Punctate,Reward,1,1,6,6,9,0.3000000000000007,0.0,19.737675,11.5425,0.0,0.0,27.701999999999998,14.85,0.0,29.97,0.0,0.0,0.0,0
21,Punctate,Reward,1,1,6,9,10,0.0,0.0,19.737675,11.5425,0.0,0.0,27.701999999999998,14.85,0.0,29.97,0.0,0.0,0.0,0
22,Punctate,Reward,1,1,7,1,3,6.579224999999997,0.0,25.6589775,11.5425,0.0,0.0,27.701999999999998,14.85,0.0,29.97,0.0,0.0,0.0,0
23,Punctate,Reward,1,1,7,3,5,0.0,0.0,25.6589775,11.5425,0.0,0.0,27.701999999999998,14.85,0.0,29.97,0.0,0.0,0.0,0
24,Punctate,Reward,1,1,7,5,8,0.0,0.0,25.6589775,11.5425,0.0,0.0,27.701999999999998,14.85,0.0,29.97,0.0,0.0,0.0,0
25,Punctate,Reward,1,1,7,8,10,0.0,0.0,25.6589775,11.5425,0.0,0.0,27.701999999999998,14.85,0.0,29.97,0.0,0.0,0.0,0
26,Punctate,Reward,1,1,8,3,6,0.7695000000000007,0.0,25.6589775,11.5425,0.0,0.0,28.39455,14.85,0.0,29.97,0.0,0.0,0.0,0
27,Punctate,Reward,1,1,8,6,9,0.030000000000001137,0.0,25.6589775,11.5425,0.0,0.0,28.39455,14.85,0.0,29.997,0.0,0.0,0.0,0
28,Punctate,Reward,1,1,8,9,10,0.0,0.0,25.6589775,11.5425,0.0,0.0,28.39455,14.85,0.0,29.997,0.0,0.0,0.0,0
29,Punctate,Reward,1,1,9,2,4,2.5649999999999977,0.0,25.6589775,13.850999999999999,0.0,0.0,28.39455,14.85,0.0,29.997,0.0,0.0,0.0,0
30,Punctate,Reward,1,1,9,4,7,0.15000000000000036,0.0,25.6589775,13.850999999999999,0.0,0.0,28.39455,14.985,0.0,29.997,0.0,0.0,0.0,0
31,Punctate,Reward,1,1,9,7,10,0.0,0.0,25.6589775,13.850999999999999,0.0,0.0,28.39455,14.985,0.0,29.997,0.0,0.0,0.0,0
32,Punctate,Reward,1,1,10,1,2,13.158449999999998,11.842604999999999,25.6589775,13.850999999999999,0.0,0.0,28.39455,14.985,0.0,29.997,0.0,0.0,0.0,0
33,Punctate,Reward,1,1,10,2,4,0.38475000000000037,11.842604999999999,25.6589775,14.197275,0.0,0.0,28.39455,14.985,0.0,29.997,0.0,0.0,0.0,0
