,Model,Condition,Simulation,Phase,Episode,State,Action,RPE,VS1A2,VS1A3,VS2A4,VS2A5,VS3A5,VS3A6,VS4A7,VS5A8,VS6A9,VS7A10,VS8A10,VS9A10,VS10A11
0,ReducedSR,Control,1,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ReducedSR,Control,1,1,1,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,ReducedSR,Control,1,1,1,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ReducedSR,Control,1,1,1,8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ReducedSR,Control,1,1,2,4,7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0375,0.0,0.0,0.0,0.0,0.0,0.0
5,ReducedSR,Control,1,1,2,7,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0375,0.0,0.0,0.0,0.0,0.0,0.0
6,ReducedSR,Control,1,1,3,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0375,0.0,0.0,0.0,0.0,0.0,0.0
7,ReducedSR,Control,1,1,3,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0375,0.0,0.0,0.0,0.0,0.0,0.0
8,ReducedSR,Control,1,1,3,8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0375,0.0,0.0,0.0,0.0,0.0,0.0
9,ReducedSR,Control,1,1,4,2,4,0.0,0.0,0.0,0.649265625,0.0,0.0,0.0,3.0375,0.0,0.0,0.0,0.0,0.0,0.0
10,ReducedSR,Control,1,1,4,4,7,1.5,0.0,0.0,0.7141921874999999,0.0,0.0,0.0,5.9307187500000005,0.0,0.0,0.0,0.0,0.0,0.0
11,ReducedSR,Control,1,1,4,7,10,0.0,0.0,0.0,0.7141921874999999,0.0,0.0,0.0,5.9307187500000005,0.0,0.0,0.0,0.0,0.0,0.0
12,ReducedSR,Control,1,1,5,2,4,0.0,0.0,0.0,1.8211900781250001,0.0,0.0,0.0,5.9307187500000005,0.0,0.0,0.0,0.0,0.0,0.0
13,ReducedSR,Control,1,1,5,4,7,0.15000000000000036,0.0,0.0,1.8377463515625,0.0,0.0,0.0,8.009716640625001,0.0,0.0,0.0,0.0,0.0,0.0
14,ReducedSR,Control,1,1,5,7,10,0.0,0.0,0.0,1.8377463515625,0.0,0.0,0.0,8.009716640625001,0.0,0.0,0.0,0.0,0.0,0.0
15,ReducedSR,Control,1,1,6,1,3,0.0,0.0,0.0,1.8377463515625,0.0,0.0,0.0,8.009716640625001,0.0,0.0,0.0,0.0,0.0,0.0
16,ReducedSR,Control,1,1,6,3,6,0.0,0.0,0.0,1.8377463515625,0.0,0.0,0.0,8.009716640625001,0.0,0.0,0.0,0.0,0.0,0.0
17,ReducedSR,Control,1,1,6,6,9,30.0,0.0,0.0,1.8377463515625,0.0,0.0,0.0,8.009716640625001,0.0,6.075,0.0,0.0,0.0,0.0
