,Model,Condition,Simulation,Phase,Episode,State,Action,RPE,VS1A2,VS1A3,VS2A4,VS2A5,VS3A5,VS3A6,VS4A7,VS5A8,VS6A9,VS7A10,VS8A10,VS9A10,VS10A11
0,ReducedSR,Goal,1,1,1,6,9,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.075,0.0,0.0,0.0,0.0
1,ReducedSR,Goal,1,1,1,9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.075,0.0,0.0,0.0,0.0
2,ReducedSR,Goal,1,1,2,4,7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0375,0.0,6.075,0.0,0.0,0.0,0.0
3,ReducedSR,Goal,1,1,2,7,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0375,0.0,6.075,0.0,0.0,0.0,0.0
4,ReducedSR,Goal,1,1,3,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0375,0.0,6.075,0.0,0.0,0.0,0.0
5,ReducedSR,Goal,1,1,3,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0375,0.0,6.075,0.0,0.0,0.0,0.0
6,ReducedSR,Goal,1,1,3,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0375,0.0,6.075,0.0,0.0,0.0,0.0
7,ReducedSR,Goal,1,1,3,8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0375,0.0,6.075,0.0,0.0,0.0,0.0
8,ReducedSR,Goal,1,1,4,2,4,0.0,0.0,0.0,0.649265625,0.0,0.0,0.0,3.0375,0.0,6.075,0.0,0.0,0.0,0.0
9,ReducedSR,Goal,1,1,4,4,7,1.5,0.0,0.0,0.7141921874999999,0.0,0.0,0.0,5.9307187500000005,0.0,6.075,0.0,0.0,0.0,0.0
10,ReducedSR,Goal,1,1,4,7,10,0.0,0.0,0.0,0.7141921874999999,0.0,0.0,0.0,5.9307187500000005,0.0,6.075,0.0,0.0,0.0,0.0
11,ReducedSR,Goal,1,1,5,3,5,0.0,0.0,0.0,0.7141921874999999,0.0,0.0,0.0,5.9307187500000005,0.0,6.075,0.0,0.0,0.0,0.0
12,ReducedSR,Goal,1,1,5,5,8,0.0,0.0,0.0,0.7141921874999999,0.0,0.0,0.0,5.9307187500000005,0.0,6.075,0.0,0.0,0.0,0.0
13,ReducedSR,Goal,1,1,5,8,10,0.0,0.0,0.0,0.7141921874999999,0.0,0.0,0.0,5.9307187500000005,0.0,6.075,0.0,0.0,0.0,0.0
14,ReducedSR,Goal,1,1,6,4,7,0.15000000000000036,0.0,0.0,0.72068484375,0.0,0.0,0.0,8.009716640625001,0.0,6.075,0.0,0.0,0.0,0.0
15,ReducedSR,Goal,1,1,6,7,10,0.0,0.0,0.0,0.72068484375,0.0,0.0,0.0,8.009716640625001,0.0,6.075,0.0,0.0,0.0,0.0
16,ReducedSR,Goal,1,1,7,1,2,0.0,0.15404638535156248,0.0,0.72068484375,0.0,0.0,0.0,8.009716640625001,0.0,6.075,0.0,0.0,0.0,0.0
17,ReducedSR,Goal,1,1,7,2,4,0.0,0.15404638535156248,0.0,2.2706076858398436,0.0,0.0,0.0,8.009716640625001,0.0,6.075,0.0,0.0,0.0,0.0
18,ReducedSR,Goal,1,1,7,4,7,0.015000000000000568,0.15418516587890624,0.0,2.272653278349609,0.0,0.0,0.0,9.587785266210938,0.0,6.075,0.0,0.0,0.0,0.0
19,ReducedSR,Goal,1,1,7,7,10,0.0,0.15418516587890624,0.0,2.272653278349609,0.0,0.0,0.0,9.587785266210938,0.0,6.075,0.0,0.0,0.0,0.0
20,ReducedSR,Goal,1,1,8,2,5,0.0,0.15418516587890624,0.0,2.272653278349609,0.0,0.0,0.0,9.587785266210938,0.0,6.075,0.0,0.0,0.0,0.0
21,ReducedSR,Goal,1,1,8,5,8,0.0,0.15418516587890624,0.0,2.272653278349609,0.0,0.0,0.0,9.587785266210938,0.0,6.075,0.0,0.0,0.0,0.0
22,ReducedSR,Goal,1,1,8,8,10,0.0,0.15418516587890624,0.0,2.272653278349609,0.0,0.0,0.0,9.587785266210938,0.0,6.075,0.0,0.0,0.0,0.0
23,ReducedSR,Goal,1,1,9,1,2,0.0,0.11949350355615235,0.0,2.272653278349609,0.0,0.0,0.0,9.587785266210938,0.0,6.075,0.0,0.0,0.0,0.0
24,ReducedSR,Goal,1,1,9,2,4,0.0,0.11949350355615235,0.0,3.8106953913735353,0.0,0.0,0.0,9.587785266210938,0.0,6.075,0.0,0.0,0.0,0.0
25,ReducedSR,Goal,1,1,9,4,7,0.0015000000000000568,0.11950425904702149,0.0,3.8110383882584475,0.0,0.0,0.0,10.806168646217287,0.0,6.075,0.0,0.0,0.0,0.0
26,ReducedSR,Goal,1,1,9,7,10,0.0,0.11950425904702149,0.0,3.8110383882584475,0.0,0.0,0.0,10.806168646217287,0.0,6.075,0.0,0.0,0.0,0.0
27,ReducedSR,Goal,1,1,10,1,3,0.0,0.11950425904702149,0.0,3.8110383882584475,0.0,0.0,0.0,10.806168646217287,0.0,6.075,0.0,0.0,0.0,0.0
28,ReducedSR,Goal,1,1,10,3,6,0.0,0.11950425904702149,0.0,3.8110383882584475,0.0,0.0,1.29853125,10.806168646217287,0.0,6.075,0.0,0.0,0.0,0.0
29,ReducedSR,Goal,1,1,10,6,9,3.0,0.11950425904702149,0.0,3.8110383882584475,0.0,0.0,1.4283843749999998,10.806168646217287,0.0,11.861437500000001,0.0,0.0,0.0,0.0
30,ReducedSR,Goal,1,1,10,9,10,0.0,0.11950425904702149,0.0,3.8110383882584475,0.0,0.0,1.4283843749999998,10.806168646217287,0.0,11.861437500000001,0.0,0.0,0.0,0.0
31,ReducedSR,Goal,1,1,11,5,8,0.0,0.11950425904702149,0.0,3.8110383882584475,0.0,0.0,1.4283843749999998,10.806168646217287,0.0,11.861437500000001,0.0,0.0,0.0,0.0
32,ReducedSR,Goal,1,1,11,8,10,0.0,0.11950425904702149,0.0,3.8110383882584475,0.0,0.0,1.4283843749999998,10.806168646217287,0.0,11.861437500000001,0.0,0.0,0.0,0.0
33,ReducedSR,Goal,1,1,12,2,4,0.0,0.11950425904702149,0.0,5.263373299029241,0.0,0.0,1.4283843749999998,10.806168646217287,0.0,11.861437500000001,0.0,0.0,0.0,0.0
34,ReducedSR,Goal,1,1,12,4,7,0.0001499999999996504,0.1195053345961084,0.0,5.263420669862641,0.0,0.0,1.4283843749999998,11.749852699598442,0.0,11.861437500000001,0.0,0.0,0.0,0.0
35,ReducedSR,Goal,1,1,12,7,10,0.0,0.1195053345961084,0.0,5.263420669862641,0.0,0.0,1.4283843749999998,11.749852699598442,0.0,11.861437500000001,0.0,0.0,0.0,0.0
36,ReducedSR,Goal,1,1,13,1,2,0.0,1.2176728024951236,0.0,5.263420669862641,0.0,0.0,1.4283843749999998,11.749852699598442,0.0,11.861437500000001,0.0,0.0,0.0,0.0
37,ReducedSR,Goal,1,1,13,2,5,0.0,1.2176728024951236,0.0,5.263420669862641,0.0,0.0,1.4283843749999998,11.749852699598442,0.0,11.861437500000001,0.0,0.0,0.0,0.0
38,ReducedSR,Goal,1,1,13,5,8,0.0,1.2176728024951236,0.0,5.263420669862641,0.0,0.0,1.4283843749999998,11.749852699598442,0.0,11.861437500000001,0.0,0.0,0.0,0.0
39,ReducedSR,Goal,1,1,13,8,10,0.0,1.2176728024951236,0.0,5.263420669862641,0.0,0.0,1.4283843749999998,11.749852699598442,0.0,11.861437500000001,0.0,0.0,0.0,0.0
40,ReducedSR,Goal,1,1,14,1,3,0.0,1.2176728024951236,0.0,5.263420669862641,0.0,0.0,1.4283843749999998,11.749852699598442,0.0,11.861437500000001,0.0,0.0,0.0,0.0
41,ReducedSR,Goal,1,1,14,3,5,0.0,1.2176728024951236,0.0,5.263420669862641,0.0,0.0,1.4283843749999998,11.749852699598442,0.0,11.861437500000001,0.0,0.0,0.0,0.0
42,ReducedSR,Goal,1,1,14,5,8,0.0,1.2176728024951236,0.0,5.263420669862641,0.0,0.0,1.4283843749999998,11.749852699598442,0.0,11.861437500000001,0.0,0.0,0.0,0.0
43,ReducedSR,Goal,1,1,14,8,10,0.0,1.2176728024951236,0.0,5.263420669862641,0.0,0.0,1.4283843749999998,11.749852699598442,0.0,11.861437500000001,0.0,0.0,0.0,0.0
44,ReducedSR,Goal,1,1,15,3,6,0.0,1.2176728024951236,0.0,5.263420669862641,0.0,0.0,3.6423801562500002,11.749852699598442,0.0,11.861437500000001,0.0,0.0,0.0,0.0
45,ReducedSR,Goal,1,1,15,6,9,0.3000000000000007,1.2176728024951236,0.0,5.263420669862641,0.0,0.0,3.675492703125,11.749852699598442,0.0,16.019433281250002,0.0,0.0,0.0,0.0
46,ReducedSR,Goal,1,1,15,9,10,0.0,1.2176728024951236,0.0,5.263420669862641,0.0,0.0,3.675492703125,11.749852699598442,0.0,16.019433281250002,0.0,0.0,0.0,0.0
47,ReducedSR,Goal,1,1,16,1,2,0.0,0.9436964219337208,0.0,5.263420669862641,0.0,0.0,3.675492703125,11.749852699598442,0.0,16.019433281250002,0.0,0.0,0.0,0.0
48,ReducedSR,Goal,1,1,16,2,4,0.0,0.9436964219337208,0.0,6.590682033682714,0.0,0.0,3.675492703125,11.749852699598442,0.0,16.019433281250002,0.0,0.0,0.0,0.0
